Date,EU-DIV30
2010-06-08 00:00:00+00:00,-0.01924583
2010-06-09 00:00:00+00:00,0.03734310
2010-06-10 00:00:00+00:00,0.04148881
2010-06-11 00:00:00+00:00,0.02580548
2010-06-14 00:00:00+00:00,0.00522791
2010-06-15 00:00:00+00:00,0.02634595
2010-06-16 00:00:00+00:00,0.00237806
2010-06-17 00:00:00+00:00,0.00084620
2010-06-18 00:00:00+00:00,0.02008802
2010-06-21 00:00:00+00:00,0.00144169
2010-06-22 00:00:00+00:00,-0.00969573
2010-06-23 00:00:00+00:00,-0.02424807
2010-06-24 00:00:00+00:00,-0.03922729
2010-06-25 00:00:00+00:00,-0.01005612
2010-06-28 00:00:00+00:00,0.02689576
2010-06-29 00:00:00+00:00,-0.06009739
2010-06-30 00:00:00+00:00,-0.00645253
2010-07-01 00:00:00+00:00,-0.02695278
2010-07-02 00:00:00+00:00,0.00641447
2010-07-05 00:00:00+00:00,-0.00653894
2010-07-06 00:00:00+00:00,0.03755305
2010-07-07 00:00:00+00:00,0.03494811
2010-07-08 00:00:00+00:00,0.01682390
2010-07-09 00:00:00+00:00,0.00427156
2010-07-12 00:00:00+00:00,0.00426214
2010-07-13 00:00:00+00:00,0.03267401
2010-07-14 00:00:00+00:00,0.00235939
2010-07-15 00:00:00+00:00,-0.02010865
2010-07-16 00:00:00+00:00,-0.03503082
2010-07-19 00:00:00+00:00,-0.00569020
2010-07-20 00:00:00+00:00,-0.00445421
2010-07-21 00:00:00+00:00,0.01498410
2010-07-22 00:00:00+00:00,0.05659029
2010-07-23 00:00:00+00:00,0.00658839
2010-07-26 00:00:00+00:00,0.00958370
2010-07-27 00:00:00+00:00,0.02214986
2010-07-28 00:00:00+00:00,-0.00601231
2010-07-29 00:00:00+00:00,0.00707702
2010-07-30 00:00:00+00:00,-0.01075775
2010-08-02 00:00:00+00:00,0.03991598
2010-08-03 00:00:00+00:00,-0.00065758
2010-08-04 00:00:00+00:00,0.00987794
2010-08-05 00:00:00+00:00,-0.00764351
2010-08-06 00:00:00+00:00,-0.02638013
2010-08-09 00:00:00+00:00,0.03014124
2010-08-10 00:00:00+00:00,-0.01933119
2010-08-11 00:00:00+00:00,-0.04485714
2010-08-12 00:00:00+00:00,-0.00188062
