Date,SMI
2014-09-12 00:00:00+00:00,-0.00656635
2014-09-15 00:00:00+00:00,0.00205040
2014-09-16 00:00:00+00:00,0.00829962
2014-09-17 00:00:00+00:00,0.00418767
2014-09-18 00:00:00+00:00,-0.00407994
2014-09-19 00:00:00+00:00,0.00283251
2014-09-22 00:00:00+00:00,-0.00521669
2014-09-23 00:00:00+00:00,-0.00954153
2014-09-24 00:00:00+00:00,0.00547282
2014-09-25 00:00:00+00:00,-0.00884783
2014-09-26 00:00:00+00:00,0.01085813
2014-09-29 00:00:00+00:00,-0.00533756
2014-09-30 00:00:00+00:00,0.01014877
2014-10-01 00:00:00+00:00,-0.00771576
2014-10-02 00:00:00+00:00,-0.02606650
2014-10-03 00:00:00+00:00,0.00923205
2014-10-06 00:00:00+00:00,0.00045762
2014-10-07 00:00:00+00:00,-0.04001996
2014-10-08 00:00:00+00:00,0.01080811
2014-10-09 00:00:00+00:00,-0.02702533
2014-10-10 00:00:00+00:00,-0.02636724
2014-10-13 00:00:00+00:00,-0.00755361
2014-10-14 00:00:00+00:00,-0.00435140
2014-10-15 00:00:00+00:00,-0.04647115
2014-10-16 00:00:00+00:00,-0.02900166
2014-10-17 00:00:00+00:00,0.06117121
2014-10-20 00:00:00+00:00,0.01045271
2014-10-21 00:00:00+00:00,0.02947030
2014-10-22 00:00:00+00:00,0.00937175
2014-10-23 00:00:00+00:00,0.02211577
2014-10-24 00:00:00+00:00,0.00152275
2014-10-27 00:00:00+00:00,-0.00117096
2014-10-28 00:00:00+00:00,0.02566752
2014-10-29 00:00:00+00:00,-0.00034815
2014-10-30 00:00:00+00:00,0.02333344
2014-10-31 00:00:00+00:00,0.01955265
2014-11-03 00:00:00+00:00,-0.01560340
2014-11-04 00:00:00+00:00,-0.00285872
2014-11-05 00:00:00+00:00,0.02117733
2014-11-06 00:00:00+00:00,0.00191912
2014-11-07 00:00:00+00:00,-0.00620664
2014-11-10 00:00:00+00:00,0.00953515
2014-11-11 00:00:00+00:00,0.00777471
2014-11-12 00:00:00+00:00,-0.00281062
2014-11-13 00:00:00+00:00,0.01327493
2014-11-14 00:00:00+00:00,-0.00815973
2014-11-17 00:00:00+00:00,-0.00056346
2014-11-18 00:00:00+00:00,0.01577375
2014-11-19 00:00:00+00:00,0.00111171
2014-11-20 00:00:00+00:00,0.00088844
2014-11-21 00:00:00+00:00,0.01690823
2014-11-24 00:00:00+00:00,0.00176142
2014-11-25 00:00:00+00:00,-0.00286595
2014-11-26 00:00:00+00:00,0.00286531
2014-11-27 00:00:00+00:00,0.01400833
2014-11-28 00:00:00+00:00,0.00197049
2014-12-01 00:00:00+00:00,0.00032697
2014-12-02 00:00:00+00:00,0.00513370
2014-12-03 00:00:00+00:00,0.00119782
2014-12-04 00:00:00+00:00,-0.00468166
2014-12-05 00:00:00+00:00,0.01421694
2014-12-08 00:00:00+00:00,-0.01247705
2014-12-09 00:00:00+00:00,-0.01626674
2014-12-10 00:00:00+00:00,-0.02388745
2014-12-11 00:00:00+00:00,0.01357927
2014-12-12 00:00:00+00:00,-0.02815195
2014-12-15 00:00:00+00:00,-0.02372042
2014-12-16 00:00:00+00:00,-0.01540454
2014-12-17 00:00:00+00:00,0.02367841
2014-12-18 00:00:00+00:00,0.05541361
2014-12-19 00:00:00+00:00,-0.01080023
2014-12-22 00:00:00+00:00,0.00547739
2014-12-23 00:00:00+00:00,-0.00511644
2014-12-29 00:00:00+00:00,0.01028356
2014-12-30 00:00:00+00:00,-0.00557982
2015-01-05 00:00:00+00:00,-0.00886269
2015-01-06 00:00:00+00:00,-0.01845018
2015-01-07 00:00:00+00:00,0.00886887
2015-01-08 00:00:00+00:00,0.04288761
2015-01-09 00:00:00+00:00,0.00121338
2015-01-12 00:00:00+00:00,-0.00176995
2015-01-13 00:00:00+00:00,0.02779737
2015-01-14 00:00:00+00:00,-0.00853119
2015-01-15 00:00:00+00:00,-0.24541071
2015-01-16 00:00:00+00:00,-0.02147495
2015-01-19 00:00:00+00:00,0.03797913
2015-01-20 00:00:00+00:00,0.00742866
2015-01-21 00:00:00+00:00,-0.04902879
2015-01-22 00:00:00+00:00,0.01150991
2015-01-23 00:00:00+00:00,0.02175377
2015-01-26 00:00:00+00:00,0.04642615
2015-01-27 00:00:00+00:00,0.02461307
2015-01-28 00:00:00+00:00,-0.03655780
2015-01-29 00:00:00+00:00,0.05301013
2015-01-30 00:00:00+00:00,-0.03014216
2015-02-02 00:00:00+00:00,0.03186187
2015-02-03 00:00:00+00:00,-0.00476432
2015-02-04 00:00:00+00:00,0.03443185
2015-02-05 00:00:00+00:00,-0.01525982
2015-02-06 00:00:00+00:00,0.00472297
