Date,NASDAQ
2000-01-04 00:00:00+00:00,
2000-01-05 00:00:00+00:00,-0.02547733
2000-01-06 00:00:00+00:00,-0.11405684
2000-01-07 00:00:00+00:00,0.14774753
2000-01-10 00:00:00+00:00,0.11928836
2000-01-11 00:00:00+00:00,-0.10362667
2000-01-12 00:00:00+00:00,-0.04017894
2000-01-13 00:00:00+00:00,0.08487996
2000-01-14 00:00:00+00:00,0.05403161
2000-01-18 00:00:00+00:00,0.03021029
2000-01-19 00:00:00+00:00,0.02214668
2000-01-20 00:00:00+00:00,0.01358646
2000-01-21 00:00:00+00:00,0.00704351
2000-01-24 00:00:00+00:00,-0.10636310
2000-01-25 00:00:00+00:00,0.05872936
2000-01-26 00:00:00+00:00,-0.07297669
2000-01-27 00:00:00+00:00,-0.01030706
2000-01-28 00:00:00+00:00,-0.08929313
2000-01-31 00:00:00+00:00,0.07895108
2000-02-01 00:00:00+00:00,0.03607709
2000-02-02 00:00:00+00:00,0.03746003
2000-02-03 00:00:00+00:00,0.07441740
2000-02-04 00:00:00+00:00,0.01076319
2000-02-07 00:00:00+00:00,0.02284279
2000-02-08 00:00:00+00:00,0.07809206
2000-02-09 00:00:00+00:00,-0.06455176
2000-02-10 00:00:00+00:00,0.06793408
2000-02-11 00:00:00+00:00,-0.05584832
2000-02-14 00:00:00+00:00,0.00519644
2000-02-15 00:00:00+00:00,0.01691022
2000-02-16 00:00:00+00:00,-0.00711371
2000-02-17 00:00:00+00:00,0.03963958
2000-02-18 00:00:00+00:00,-0.06402715
2000-02-22 00:00:00+00:00,-0.00257449
2000-02-23 00:00:00+00:00,0.10786165
2000-02-24 00:00:00+00:00,0.02780204
2000-02-25 00:00:00+00:00,-0.02305059
2000-02-28 00:00:00+00:00,-0.01534171
2000-02-29 00:00:00+00:00,0.06562981
2000-03-01 00:00:00+00:00,0.01041109
2000-03-02 00:00:00+00:00,-0.04098496
2000-03-03 00:00:00+00:00,0.10549115
2000-03-06 00:00:00+00:00,0.01720501
2000-03-07 00:00:00+00:00,-0.05001117
2000-03-08 00:00:00+00:00,0.03517150
2000-03-09 00:00:00+00:00,0.06315158
2000-03-10 00:00:00+00:00,0.00057170
2000-03-13 00:00:00+00:00,-0.06322724
2000-03-14 00:00:00+00:00,-0.03035094
2000-03-15 00:00:00+00:00,-0.03137193
2000-03-16 00:00:00+00:00,0.05425694
2000-03-17 00:00:00+00:00,0.02111771
2000-03-20 00:00:00+00:00,-0.07307611
2000-03-21 00:00:00+00:00,0.07652813
2000-03-22 00:00:00+00:00,0.04798131
2000-03-23 00:00:00+00:00,0.04645607
2000-03-24 00:00:00+00:00,0.02990995
2000-03-27 00:00:00+00:00,-0.01787996
2000-03-28 00:00:00+00:00,-0.03946010
2000-03-29 00:00:00+00:00,-0.08340833
2000-03-30 00:00:00+00:00,-0.06329904
2000-03-31 00:00:00+00:00,0.05942783
2000-04-03 00:00:00+00:00,-0.14331961
2000-04-04 00:00:00+00:00,-0.03470555
2000-04-05 00:00:00+00:00,-0.00510917
2000-04-06 00:00:00+00:00,0.04168103
2000-04-07 00:00:00+00:00,0.09317433
2000-04-10 00:00:00+00:00,-0.14383802
2000-04-11 00:00:00+00:00,-0.03596145
2000-04-12 00:00:00+00:00,-0.13268001
2000-04-13 00:00:00+00:00,-0.06135268
2000-04-14 00:00:00+00:00,-0.20520987
2000-04-17 00:00:00+00:00,0.22358727
2000-04-18 00:00:00+00:00,0.09624711
2000-04-19 00:00:00+00:00,-0.06818894
2000-04-20 00:00:00+00:00,-0.04849757
2000-04-24 00:00:00+00:00,-0.06694879
2000-04-25 00:00:00+00:00,0.13326201
2000-04-26 00:00:00+00:00,-0.06465916
2000-04-27 00:00:00+00:00,0.08996155
2000-04-28 00:00:00+00:00,0.06765338
2000-05-01 00:00:00+00:00,0.02973176
2000-05-02 00:00:00+00:00,-0.11862979
2000-05-03 00:00:00+00:00,-0.02932833
2000-05-04 00:00:00+00:00,0.00231929
2000-05-05 00:00:00+00:00,0.05858973
2000-05-08 00:00:00+00:00,-0.07867949
2000-05-09 00:00:00+00:00,-0.05594864
2000-05-10 00:00:00+00:00,-0.11605563
2000-05-11 00:00:00+00:00,0.08158569
2000-05-12 00:00:00+00:00,0.01870659
2000-05-15 00:00:00+00:00,0.08290468
2000-05-16 00:00:00+00:00,0.06245003
2000-05-17 00:00:00+00:00,-0.04460950
2000-05-18 00:00:00+00:00,-0.07127186
2000-05-19 00:00:00+00:00,-0.10510390
2000-05-22 00:00:00+00:00,0.01048012
2000-05-23 00:00:00+00:00,-0.17381060
2000-05-24 00:00:00+00:00,0.10254686
2000-05-25 00:00:00+00:00,-0.02607770
2000-05-26 00:00:00+00:00,0.00237065
2000-05-30 00:00:00+00:00,0.19054727
2000-05-31 00:00:00+00:00,-0.05912790
2000-06-01 00:00:00+00:00,0.11289599
2000-06-02 00:00:00+00:00,0.13674916
2000-06-05 00:00:00+00:00,0.00020895
2000-06-06 00:00:00+00:00,-0.04816169
2000-06-07 00:00:00+00:00,0.04117347
2000-06-08 00:00:00+00:00,-0.00380348
2000-06-09 00:00:00+00:00,0.01267519
2000-06-12 00:00:00+00:00,-0.05159504
2000-06-13 00:00:00+00:00,0.04751277
2000-06-14 00:00:00+00:00,-0.01998762
2000-06-15 00:00:00+00:00,0.01608102
2000-06-16 00:00:00+00:00,0.00246229
2000-06-19 00:00:00+00:00,0.04033974
2000-06-20 00:00:00+00:00,0.01239854
2000-06-21 00:00:00+00:00,0.00280544
2000-06-22 00:00:00+00:00,-0.07543554
2000-06-23 00:00:00+00:00,-0.06983407
2000-06-26 00:00:00+00:00,0.05319061
2000-06-27 00:00:00+00:00,-0.03154156
2000-06-28 00:00:00+00:00,0.02529214
2000-06-29 00:00:00+00:00,-0.04448279
2000-06-30 00:00:00+00:00,0.04590963
2000-07-03 00:00:00+00:00,0.02312502
2000-07-05 00:00:00+00:00,-0.07891955
2000-07-06 00:00:00+00:00,0.06693045
2000-07-07 00:00:00+00:00,0.02249665
2000-07-10 00:00:00+00:00,-0.02572780
2000-07-11 00:00:00+00:00,-0.02449139
2000-07-12 00:00:00+00:00,0.07860631
2000-07-13 00:00:00+00:00,0.03949094
2000-07-14 00:00:00+00:00,0.03447792
2000-07-17 00:00:00+00:00,0.01549586
2000-07-18 00:00:00+00:00,-0.04229057
2000-07-19 00:00:00+00:00,-0.05487743
2000-07-20 00:00:00+00:00,0.07058197
2000-07-21 00:00:00+00:00,-0.05597220
2000-07-24 00:00:00+00:00,-0.06087341
2000-07-25 00:00:00+00:00,0.03566935
2000-07-26 00:00:00+00:00,-0.01202994
2000-07-27 00:00:00+00:00,-0.08195916
2000-07-28 00:00:00+00:00,-0.10864270
2000-07-31 00:00:00+00:00,0.06312052
2000-08-01 00:00:00+00:00,-0.02646547
2000-08-02 00:00:00+00:00,-0.03521952
2000-08-03 00:00:00+00:00,0.08847973
2000-08-04 00:00:00+00:00,-0.01685535
2000-08-07 00:00:00+00:00,0.04963447
2000-08-08 00:00:00+00:00,-0.00288726
2000-08-09 00:00:00+00:00,-0.01257452
2000-08-10 00:00:00+00:00,-0.03551383
2000-08-11 00:00:00+00:00,0.01867920
2000-08-14 00:00:00+00:00,0.04743088
2000-08-15 00:00:00+00:00,-0.00006824
2000-08-16 00:00:00+00:00,0.00766340
2000-08-17 00:00:00+00:00,0.04491561
2000-08-18 00:00:00+00:00,-0.00785853
2000-08-21 00:00:00+00:00,0.00931519
2000-08-22 00:00:00+00:00,-0.00474572
2000-08-23 00:00:00+00:00,0.02944717
2000-08-24 00:00:00+00:00,0.01722524
2000-08-25 00:00:00+00:00,0.01183049
2000-08-28 00:00:00+00:00,-0.00032885
2000-08-29 00:00:00+00:00,0.00889093
2000-08-30 00:00:00+00:00,-0.00095699
