Date,OAT
2012-09-06 00:00:00+00:00,
2012-09-07 00:00:00+00:00,0.00859490
2012-09-10 00:00:00+00:00,-0.00601188
2012-09-11 00:00:00+00:00,0.01235050
2012-09-12 00:00:00+00:00,-0.01722298
2012-09-13 00:00:00+00:00,0.00554868
2012-09-14 00:00:00+00:00,-0.01317234
2012-09-17 00:00:00+00:00,-0.00256450
2012-09-18 00:00:00+00:00,0.00482294
2012-09-19 00:00:00+00:00,-0.00098185
2012-09-20 00:00:00+00:00,-0.00045535
2012-09-21 00:00:00+00:00,0.00014689
2012-09-24 00:00:00+00:00,0.00255565
2012-09-25 00:00:00+00:00,-0.00436439
2012-09-26 00:00:00+00:00,0.01295594
2012-09-27 00:00:00+00:00,-0.00000333
2012-09-28 00:00:00+00:00,0.00553715
2012-10-01 00:00:00+00:00,-0.00418378
2012-10-02 00:00:00+00:00,0.00059523
2012-10-03 00:00:00+00:00,0.00052026
2012-10-04 00:00:00+00:00,0.00179078
2012-10-05 00:00:00+00:00,0.00051936
2012-10-08 00:00:00+00:00,0.00134065
2012-10-09 00:00:00+00:00,0.00641437
2012-10-10 00:00:00+00:00,0.00564911
2012-10-11 00:00:00+00:00,0.00177661
2012-10-12 00:00:00+00:00,0.00488716
2012-10-15 00:00:00+00:00,0.00221397
2012-10-16 00:00:00+00:00,-0.00812610
2012-10-17 00:00:00+00:00,-0.00675099
2012-10-18 00:00:00+00:00,0.00148431
2012-10-19 00:00:00+00:00,0.00505199
2012-10-22 00:00:00+00:00,-0.00245084
2012-10-23 00:00:00+00:00,-0.00119150
2012-10-24 00:00:00+00:00,-0.00119235
2012-10-25 00:00:00+00:00,-0.00149044
2012-10-26 00:00:00+00:00,0.00148383
2012-10-29 00:00:00+00:00,0.00044165
2012-10-30 00:00:00+00:00,0.00103597
2012-10-31 00:00:00+00:00,-0.00044952
2012-11-01 00:00:00+00:00,0.00296808
2012-11-02 00:00:00+00:00,0.00073839
2012-11-05 00:00:00+00:00,0.00185009
2012-11-06 00:00:00+00:00,0.00266338
2012-11-07 00:00:00+00:00,0.00295598
2012-11-08 00:00:00+00:00,0.00354284
2012-11-09 00:00:00+00:00,0.00456927
2012-11-12 00:00:00+00:00,0.00448526
2012-11-13 00:00:00+00:00,0.00410762
2012-11-14 00:00:00+00:00,-0.00381348
2012-11-15 00:00:00+00:00,0.00249281
2012-11-16 00:00:00+00:00,0.00190319
2012-11-19 00:00:00+00:00,-0.00014975
2012-11-20 00:00:00+00:00,-0.01187051
2012-11-21 00:00:00+00:00,-0.00317215
2012-11-22 00:00:00+00:00,-0.00066760
2012-11-23 00:00:00+00:00,0.00398339
2012-11-26 00:00:00+00:00,0.00382788
2012-11-27 00:00:00+00:00,0.00323223
2012-11-28 00:00:00+00:00,0.01152363
2012-11-29 00:00:00+00:00,0.00123780
2012-11-30 00:00:00+00:00,-0.00044071
2012-12-03 00:00:00+00:00,-0.00066009
2012-12-04 00:00:00+00:00,0.00459447
2012-12-05 00:00:00+00:00,-0.01070605
2012-12-06 00:00:00+00:00,0.00088046
2012-12-07 00:00:00+00:00,0.00073250
2012-12-10 00:00:00+00:00,0.00058356
2012-12-11 00:00:00+00:00,-0.00073627
2012-12-12 00:00:00+00:00,-0.00161654
2012-12-13 00:00:00+00:00,-0.00014938
2012-12-14 00:00:00+00:00,-0.00000164
2012-12-17 00:00:00+00:00,-0.00484694
2012-12-18 00:00:00+00:00,-0.00441826
2012-12-19 00:00:00+00:00,0.00383339
2012-12-20 00:00:00+00:00,0.00323707
2012-12-21 00:00:00+00:00,0.00146771
2012-12-27 00:00:00+00:00,0.00220062
2012-12-28 00:00:00+00:00,-0.00220203
2013-01-02 00:00:00+00:00,-0.01101928
2013-01-03 00:00:00+00:00,-0.00716612
2013-01-04 00:00:00+00:00,-0.00474519
2013-01-07 00:00:00+00:00,0.00497398
2013-01-08 00:00:00+00:00,0.00133108
2013-01-09 00:00:00+00:00,-0.00022455
2013-01-10 00:00:00+00:00,-0.00533477
2013-01-11 00:00:00+00:00,-0.00274995
2013-01-14 00:00:00+00:00,0.00289679
2013-01-15 00:00:00+00:00,0.00244696
2013-01-16 00:00:00+00:00,0.00044210
2013-01-17 00:00:00+00:00,-0.00941875
2013-01-18 00:00:00+00:00,0.00818900
2013-01-21 00:00:00+00:00,-0.00704926
2013-01-22 00:00:00+00:00,0.00461232
2013-01-23 00:00:00+00:00,0.00408183
2013-01-24 00:00:00+00:00,-0.00630300
2013-01-25 00:00:00+00:00,-0.00862481
2013-01-28 00:00:00+00:00,-0.00702143
2013-01-29 00:00:00+00:00,0.00142096
2013-01-30 00:00:00+00:00,-0.00516930
2013-01-31 00:00:00+00:00,0.00652765
2013-02-01 00:00:00+00:00,0.00231687
2013-02-04 00:00:00+00:00,0.00044574
2013-02-05 00:00:00+00:00,-0.00530735
2013-02-06 00:00:00+00:00,0.00104615
2013-02-07 00:00:00+00:00,0.00456489
2013-02-08 00:00:00+00:00,0.00313491
2013-02-11 00:00:00+00:00,-0.00216623
2013-02-12 00:00:00+00:00,-0.00328841
2013-02-13 00:00:00+00:00,-0.00314445
2013-02-14 00:00:00+00:00,0.00546463
2013-02-15 00:00:00+00:00,-0.00321609
2013-02-18 00:00:00+00:00,0.00328864
2013-02-19 00:00:00+00:00,0.00059347
2013-02-20 00:00:00+00:00,-0.00299051
2013-02-21 00:00:00+00:00,0.00799643
2013-02-22 00:00:00+00:00,0.00133634
2013-02-25 00:00:00+00:00,-0.00119484
2013-02-26 00:00:00+00:00,0.01019694
2013-02-27 00:00:00+00:00,0.00214472
2013-02-28 00:00:00+00:00,0.00007031
2013-03-01 00:00:00+00:00,0.00783714
2013-03-04 00:00:00+00:00,0.00390213
2013-03-05 00:00:00+00:00,-0.00985931
2013-03-06 00:00:00+00:00,0.00200297
2013-03-07 00:00:00+00:00,-0.00044863
2013-03-08 00:00:00+00:00,-0.00081977
2013-03-11 00:00:00+00:00,-0.00178514
2013-03-12 00:00:00+00:00,0.00237176
2013-03-13 00:00:00+00:00,-0.00029977
2013-03-14 00:00:00+00:00,0.00088510
2013-03-15 00:00:00+00:00,0.00391926
2013-03-18 00:00:00+00:00,0.00620164
2013-03-19 00:00:00+00:00,0.00500446
2013-03-20 00:00:00+00:00,-0.00360193
2013-03-21 00:00:00+00:00,0.00323505
2013-03-22 00:00:00+00:00,-0.00161861
2013-03-25 00:00:00+00:00,-0.00147310
2013-03-26 00:00:00+00:00,-0.00412260
2013-03-27 00:00:00+00:00,0.00648417
2013-03-28 00:00:00+00:00,-0.00103142
2013-04-02 00:00:00+00:00,0.00132050
2013-04-03 00:00:00+00:00,0.00484661
2013-04-04 00:00:00+00:00,0.01729429
2013-04-05 00:00:00+00:00,0.02063398
2013-04-08 00:00:00+00:00,0.00201126
2013-04-09 00:00:00+00:00,-0.00790613
2013-04-10 00:00:00+00:00,-0.01111140
2013-04-11 00:00:00+00:00,0.00304395
2013-04-12 00:00:00+00:00,0.00542962
2013-04-15 00:00:00+00:00,0.00295888
2013-04-16 00:00:00+00:00,-0.00274298
2013-04-17 00:00:00+00:00,0.00664225
2013-04-18 00:00:00+00:00,-0.00137006
2013-04-19 00:00:00+00:00,-0.00158703
2013-04-22 00:00:00+00:00,0.00749600
2013-04-23 00:00:00+00:00,0.00193718
2013-04-24 00:00:00+00:00,-0.00100701
2013-04-25 00:00:00+00:00,-0.00107931
2013-04-26 00:00:00+00:00,0.00172194
2013-04-29 00:00:00+00:00,0.00128986
2013-04-30 00:00:00+00:00,0.00544942
2013-05-02 00:00:00+00:00,0.00657903
2013-05-03 00:00:00+00:00,-0.00741746
2013-05-06 00:00:00+00:00,0.00314701
2013-05-07 00:00:00+00:00,-0.00693296
2013-05-08 00:00:00+00:00,0.00401350
2013-05-09 00:00:00+00:00,-0.00264957
