Date,STEEL
2009-04-09 00:00:00+00:00,-0.00000522
2009-04-13 00:00:00+00:00,-0.00000494
2009-04-14 00:00:00+00:00,-0.00000494
2009-04-15 00:00:00+00:00,-0.04598123
2009-04-16 00:00:00+00:00,-0.02360908
2009-04-17 00:00:00+00:00,-0.00008159
2009-04-20 00:00:00+00:00,0.02380586
2009-04-21 00:00:00+00:00,-0.00000422
2009-04-22 00:00:00+00:00,-0.00000381
2009-04-23 00:00:00+00:00,-0.00000297
2009-04-24 00:00:00+00:00,-0.00000294
2009-04-27 00:00:00+00:00,-0.00000322
2009-04-28 00:00:00+00:00,-0.00000353
2009-04-29 00:00:00+00:00,-0.00000294
2009-04-30 00:00:00+00:00,-0.00000367
2009-05-01 00:00:00+00:00,0.04650782
2009-05-04 00:00:00+00:00,0.04537330
2009-05-05 00:00:00+00:00,-0.02230258
2009-05-06 00:00:00+00:00,-0.02255047
2009-05-07 00:00:00+00:00,-0.02280665
2009-05-08 00:00:00+00:00,-0.00008000
2009-05-11 00:00:00+00:00,-0.00000472
2009-05-12 00:00:00+00:00,-0.00000522
2009-05-13 00:00:00+00:00,0.02298356
2009-05-14 00:00:00+00:00,-0.00008036
2009-05-15 00:00:00+00:00,-0.00000458
2009-05-18 00:00:00+00:00,-0.02273205
2009-05-19 00:00:00+00:00,0.01141417
2009-05-20 00:00:00+00:00,-0.00000508
2009-05-21 00:00:00+00:00,-0.00000508
2009-05-22 00:00:00+00:00,-0.00000508
2009-05-26 00:00:00+00:00,-0.00000494
2009-05-27 00:00:00+00:00,-0.02273177
2009-05-28 00:00:00+00:00,-0.00007903
2009-05-29 00:00:00+00:00,-0.00000381
2009-06-01 00:00:00+00:00,-0.00000275
2009-06-02 00:00:00+00:00,-0.00000372
2009-06-03 00:00:00+00:00,-0.00000367
2009-06-04 00:00:00+00:00,-0.01136730
2009-06-05 00:00:00+00:00,-0.00008028
2009-06-08 00:00:00+00:00,-0.00000500
2009-06-09 00:00:00+00:00,-0.00000508
2009-06-10 00:00:00+00:00,0.04544960
2009-06-11 00:00:00+00:00,-0.00007994
2009-06-12 00:00:00+00:00,-0.00000478
2009-06-15 00:00:00+00:00,-0.00000450
2009-06-16 00:00:00+00:00,0.06666180
2009-06-17 00:00:00+00:00,-0.00007811
2009-06-18 00:00:00+00:00,-0.00000494
2009-06-19 00:00:00+00:00,0.01086457
2009-06-22 00:00:00+00:00,-0.00000536
2009-06-23 00:00:00+00:00,-0.00000569
2009-06-24 00:00:00+00:00,-0.00000550
2009-06-25 00:00:00+00:00,-0.00000478
2009-06-26 00:00:00+00:00,-0.00000522
2009-06-29 00:00:00+00:00,0.04300567
2009-06-30 00:00:00+00:00,-0.00007633
2009-07-01 00:00:00+00:00,-0.00000478
2009-07-02 00:00:00+00:00,-0.00000450
2009-07-06 00:00:00+00:00,-0.00000450
2009-07-07 00:00:00+00:00,0.05262636
2009-07-08 00:00:00+00:00,-0.00007461
2009-07-09 00:00:00+00:00,-0.00000508
2009-07-10 00:00:00+00:00,-0.00000494
2009-07-13 00:00:00+00:00,-0.00000508
2009-07-14 00:00:00+00:00,0.02550512
2009-07-15 00:00:00+00:00,-0.00512294
2009-07-16 00:00:00+00:00,-0.00007144
2009-07-17 00:00:00+00:00,-0.00000478
2009-07-20 00:00:00+00:00,-0.00000478
2009-07-21 00:00:00+00:00,-0.00000522
2009-07-22 00:00:00+00:00,-0.00000522
2009-07-23 00:00:00+00:00,-0.00000522
2009-07-24 00:00:00+00:00,0.02019680
2009-07-27 00:00:00+00:00,-0.00007203
2009-07-28 00:00:00+00:00,-0.00000550
2009-07-29 00:00:00+00:00,-0.00000564
2009-07-30 00:00:00+00:00,-0.00000514
2009-07-31 00:00:00+00:00,-0.00000514
2009-08-03 00:00:00+00:00,-0.00000536
2009-08-04 00:00:00+00:00,-0.00000514
2009-08-05 00:00:00+00:00,0.03999492
2009-08-06 00:00:00+00:00,-0.00007086
2009-08-07 00:00:00+00:00,-0.00000494
2009-08-10 00:00:00+00:00,-0.00000464
2009-08-11 00:00:00+00:00,-0.00000522
2009-08-12 00:00:00+00:00,-0.00000508
2009-08-13 00:00:00+00:00,-0.00000486
2009-08-14 00:00:00+00:00,-0.00000486
2009-08-17 00:00:00+00:00,-0.00000494
2009-08-18 00:00:00+00:00,-0.00000514
2009-08-19 00:00:00+00:00,0.01960320
2009-08-20 00:00:00+00:00,-0.00000458
2009-08-21 00:00:00+00:00,-0.00000464
2009-08-24 00:00:00+00:00,-0.00000450
2009-08-25 00:00:00+00:00,-0.00000458
2009-08-26 00:00:00+00:00,-0.00000436
2009-08-27 00:00:00+00:00,0.07691900
2009-08-28 00:00:00+00:00,-0.03710439
2009-08-31 00:00:00+00:00,-0.00006506
2009-09-01 00:00:00+00:00,0.03773190
2009-09-02 00:00:00+00:00,0.01845245
2009-09-03 00:00:00+00:00,-0.00006492
2009-09-04 00:00:00+00:00,-0.00000381
2009-09-08 00:00:00+00:00,-0.00000372
2009-09-09 00:00:00+00:00,-0.00000408
2009-09-10 00:00:00+00:00,-0.00000403
2009-09-11 00:00:00+00:00,-0.00000394
2009-09-14 00:00:00+00:00,-0.00000381
2009-09-15 00:00:00+00:00,-0.00000372
