Date,SHATZ
2008-06-02 00:00:00+00:00,0.00174880
2008-06-03 00:00:00+00:00,-0.00306344
2008-06-04 00:00:00+00:00,0.00248001
2008-06-05 00:00:00+00:00,-0.00966174
2008-06-06 00:00:00+00:00,-0.00122151
2008-06-09 00:00:00+00:00,-0.00258996
2008-06-10 00:00:00+00:00,0.00131383
2008-06-11 00:00:00+00:00,0.00170530
2008-06-12 00:00:00+00:00,-0.00171416
2008-06-13 00:00:00+00:00,-0.00337540
2008-06-16 00:00:00+00:00,-0.00201043
2008-06-17 00:00:00+00:00,0.00161040
2008-06-18 00:00:00+00:00,0.00092568
2008-06-19 00:00:00+00:00,-0.00181290
2008-06-20 00:00:00+00:00,0.00430782
2008-06-23 00:00:00+00:00,0.00165891
2008-06-24 00:00:00+00:00,-0.00053849
2008-06-25 00:00:00+00:00,-0.00092796
2008-06-26 00:00:00+00:00,0.00439869
2008-06-27 00:00:00+00:00,0.00117349
2008-06-30 00:00:00+00:00,-0.00535907
2008-07-01 00:00:00+00:00,-0.00024668
2008-07-02 00:00:00+00:00,-0.00229762
2008-07-03 00:00:00+00:00,0.00567312
2008-07-04 00:00:00+00:00,0.00287616
2008-07-07 00:00:00+00:00,0.00141138
2008-07-08 00:00:00+00:00,-0.00029505
2008-07-09 00:00:00+00:00,-0.00082828
2008-07-10 00:00:00+00:00,0.00102588
2008-07-11 00:00:00+00:00,-0.00096782
2008-07-14 00:00:00+00:00,0.00078782
2008-07-15 00:00:00+00:00,0.00268712
2008-07-16 00:00:00+00:00,-0.00091271
2008-07-17 00:00:00+00:00,-0.00135126
2008-07-18 00:00:00+00:00,-0.00588052
2008-07-21 00:00:00+00:00,-0.00399276
2008-07-22 00:00:00+00:00,0.00142396
2008-07-23 00:00:00+00:00,-0.00028689
2008-07-24 00:00:00+00:00,0.00640433
2008-07-25 00:00:00+00:00,0.00004982
2008-07-28 00:00:00+00:00,0.00243804
2008-07-29 00:00:00+00:00,0.00048815
2008-07-30 00:00:00+00:00,0.00107229
2008-07-31 00:00:00+00:00,0.00146118
2008-08-01 00:00:00+00:00,-0.00009425
2008-08-04 00:00:00+00:00,0.00068219
2008-08-05 00:00:00+00:00,0.00000082
2008-08-06 00:00:00+00:00,0.00082932
2008-08-07 00:00:00+00:00,0.00476068
2008-08-08 00:00:00+00:00,0.00193998
2008-08-11 00:00:00+00:00,-0.00169511
2008-08-12 00:00:00+00:00,0.00188662
2008-08-13 00:00:00+00:00,0.00125608
2008-08-14 00:00:00+00:00,-0.00053478
2008-08-15 00:00:00+00:00,0.00062674
2008-08-18 00:00:00+00:00,0.00082198
2008-08-19 00:00:00+00:00,0.00096615
2008-08-20 00:00:00+00:00,-0.00139974
2008-08-21 00:00:00+00:00,-0.00333575
2008-08-22 00:00:00+00:00,-0.00203287
2008-08-25 00:00:00+00:00,0.00441431
2008-08-26 00:00:00+00:00,0.00092081
2008-08-27 00:00:00+00:00,-0.00405998
2008-08-28 00:00:00+00:00,-0.00164668
2008-08-29 00:00:00+00:00,0.00116538
2008-09-01 00:00:00+00:00,0.00290923
2008-09-02 00:00:00+00:00,-0.00236916
2008-09-03 00:00:00+00:00,-0.00048259
2008-09-04 00:00:00+00:00,0.00489831
2008-09-05 00:00:00+00:00,0.00328013
2008-09-08 00:00:00+00:00,-0.00380300
2008-09-09 00:00:00+00:00,0.00608220
2008-09-10 00:00:00+00:00,-0.00023792
2008-09-11 00:00:00+00:00,0.00014813
2008-09-12 00:00:00+00:00,-0.00331813
2008-09-15 00:00:00+00:00,0.00973061
2008-09-16 00:00:00+00:00,0.00036510
2008-09-17 00:00:00+00:00,0.00182393
2008-09-18 00:00:00+00:00,-0.00087039
2008-09-19 00:00:00+00:00,-0.01222346
2008-09-22 00:00:00+00:00,-0.00050806
2008-09-23 00:00:00+00:00,0.00471325
2008-09-24 00:00:00+00:00,0.00413303
2008-09-25 00:00:00+00:00,-0.00319670
2008-09-26 00:00:00+00:00,0.00604781
2008-09-29 00:00:00+00:00,0.00806619
2008-09-30 00:00:00+00:00,-0.00241720
2008-10-01 00:00:00+00:00,0.00294800
2008-10-02 00:00:00+00:00,0.00361615
2008-10-03 00:00:00+00:00,-0.00087298
2008-10-06 00:00:00+00:00,0.00925372
