Date,LIVECOW
2000-06-23 00:00:00+00:00,-0.00508656
2000-06-26 00:00:00+00:00,0.00274735
2000-06-27 00:00:00+00:00,0.00491993
2000-06-28 00:00:00+00:00,-0.01362785
2000-06-29 00:00:00+00:00,0.00304682
2000-06-30 00:00:00+00:00,0.01002525
2000-07-03 00:00:00+00:00,0.00316302
2000-07-05 00:00:00+00:00,0.02407836
2000-07-06 00:00:00+00:00,-0.00415919
2000-07-07 00:00:00+00:00,-0.00587974
2000-07-10 00:00:00+00:00,0.00298919
2000-07-11 00:00:00+00:00,-0.00588386
2000-07-12 00:00:00+00:00,-0.00504194
2000-07-13 00:00:00+00:00,-0.00678301
2000-07-14 00:00:00+00:00,0.01467913
2000-07-17 00:00:00+00:00,0.00341726
2000-07-18 00:00:00+00:00,0.01945337
2000-07-19 00:00:00+00:00,-0.01850074
2000-07-20 00:00:00+00:00,0.00556570
2000-07-21 00:00:00+00:00,-0.01060370
2000-07-24 00:00:00+00:00,-0.02171404
2000-07-25 00:00:00+00:00,-0.00814642
2000-07-26 00:00:00+00:00,-0.00425248
2000-07-27 00:00:00+00:00,0.00216832
2000-07-28 00:00:00+00:00,-0.00236260
2000-07-31 00:00:00+00:00,0.00962542
2000-08-01 00:00:00+00:00,-0.01150822
2000-08-02 00:00:00+00:00,-0.01290520
2000-08-03 00:00:00+00:00,0.00896062
2000-08-04 00:00:00+00:00,0.01975045
2000-08-07 00:00:00+00:00,-0.00712222
2000-08-08 00:00:00+00:00,-0.01369463
2000-08-09 00:00:00+00:00,0.00759797
2000-08-10 00:00:00+00:00,-0.01667459
2000-08-11 00:00:00+00:00,0.02778139
2000-08-14 00:00:00+00:00,-0.00336599
2000-08-15 00:00:00+00:00,-0.00553650
2000-08-16 00:00:00+00:00,-0.00381323
2000-08-17 00:00:00+00:00,-0.00543088
2000-08-18 00:00:00+00:00,0.00510548
2000-08-21 00:00:00+00:00,0.00378738
2000-08-22 00:00:00+00:00,0.00349653
2000-08-23 00:00:00+00:00,0.01346024
2000-08-24 00:00:00+00:00,-0.00423893
2000-08-25 00:00:00+00:00,-0.03293808
2000-08-28 00:00:00+00:00,-0.00904607
2000-08-29 00:00:00+00:00,-0.00683737
2000-08-30 00:00:00+00:00,0.00355172
2000-08-31 00:00:00+00:00,0.00236085
2000-09-01 00:00:00+00:00,0.04955219
2000-09-05 00:00:00+00:00,-0.00372480
2000-09-06 00:00:00+00:00,-0.00543306
2000-09-07 00:00:00+00:00,0.02429695
2000-09-08 00:00:00+00:00,-0.00511174
2000-09-11 00:00:00+00:00,-0.00087519
2000-09-12 00:00:00+00:00,-0.00766940
2000-09-13 00:00:00+00:00,-0.00357739
2000-09-14 00:00:00+00:00,0.01194003
2000-09-15 00:00:00+00:00,0.00054250
2000-09-18 00:00:00+00:00,0.00182465
2000-09-19 00:00:00+00:00,-0.00088084
2000-09-20 00:00:00+00:00,-0.00187624
2000-09-21 00:00:00+00:00,-0.00187917
2000-09-22 00:00:00+00:00,0.00868835
2000-09-25 00:00:00+00:00,0.00581412
2000-09-26 00:00:00+00:00,0.00238703
2000-09-27 00:00:00+00:00,0.00295316
2000-09-28 00:00:00+00:00,-0.00116505
2000-09-29 00:00:00+00:00,0.00266965
2000-10-02 00:00:00+00:00,0.00508578
2000-10-03 00:00:00+00:00,-0.00371834
2000-10-04 00:00:00+00:00,-0.00301487
2000-10-05 00:00:00+00:00,0.00807700
2000-10-06 00:00:00+00:00,-0.00823297
2000-10-09 00:00:00+00:00,0.01004928
2000-10-10 00:00:00+00:00,-0.00370153
2000-10-11 00:00:00+00:00,-0.00257941
2000-10-12 00:00:00+00:00,0.00223688
2000-10-13 00:00:00+00:00,-0.00863583
2000-10-16 00:00:00+00:00,0.00478677
2000-10-17 00:00:00+00:00,0.01539290
2000-10-18 00:00:00+00:00,0.00432704
2000-10-19 00:00:00+00:00,-0.00817633
2000-10-20 00:00:00+00:00,0.00686958
2000-10-23 00:00:00+00:00,0.00713499
2000-10-24 00:00:00+00:00,0.01215632
2000-10-25 00:00:00+00:00,0.00163925
2000-10-26 00:00:00+00:00,-0.00269508
2000-10-27 00:00:00+00:00,0.00192705
2000-10-30 00:00:00+00:00,0.00263070
2000-10-31 00:00:00+00:00,0.02019941
2000-11-01 00:00:00+00:00,0.02118868
2000-11-02 00:00:00+00:00,0.00010147
2000-11-03 00:00:00+00:00,0.01253791
2000-11-06 00:00:00+00:00,0.00349274
2000-11-07 00:00:00+00:00,-0.00736190
2000-11-08 00:00:00+00:00,-0.00752512
2000-11-09 00:00:00+00:00,0.00666037
2000-11-10 00:00:00+00:00,0.00186925
2000-11-13 00:00:00+00:00,0.00445781
2000-11-14 00:00:00+00:00,0.00908141
2000-11-15 00:00:00+00:00,-0.00220686
2000-11-16 00:00:00+00:00,0.00294486
2000-11-17 00:00:00+00:00,0.00389125
2000-11-20 00:00:00+00:00,0.00320431
2000-11-21 00:00:00+00:00,-0.00354561
2000-11-22 00:00:00+00:00,0.00994057
2000-11-24 00:00:00+00:00,-0.00890476
2000-11-27 00:00:00+00:00,0.00117475
2000-11-28 00:00:00+00:00,0.00791469
2000-11-29 00:00:00+00:00,-0.01197434
2000-11-30 00:00:00+00:00,0.00293318
2000-12-01 00:00:00+00:00,0.00440909
2000-12-04 00:00:00+00:00,0.00466876
2000-12-05 00:00:00+00:00,0.00184309
2000-12-06 00:00:00+00:00,0.00881439
2000-12-07 00:00:00+00:00,-0.00016726
2000-12-08 00:00:00+00:00,0.00624626
2000-12-11 00:00:00+00:00,0.00116411
2000-12-12 00:00:00+00:00,0.01232753
2000-12-13 00:00:00+00:00,0.00181525
2000-12-14 00:00:00+00:00,-0.00676465
2000-12-15 00:00:00+00:00,0.00513439
2000-12-18 00:00:00+00:00,0.01186295
2000-12-19 00:00:00+00:00,-0.01145562
2000-12-20 00:00:00+00:00,0.00511840
2000-12-21 00:00:00+00:00,-0.01554170
2000-12-22 00:00:00+00:00,0.00753805
2000-12-26 00:00:00+00:00,-0.00319198
2000-12-27 00:00:00+00:00,0.00974543
2000-12-28 00:00:00+00:00,0.00418193
2000-12-29 00:00:00+00:00,0.00364435
2001-01-02 00:00:00+00:00,0.00456327
2001-01-03 00:00:00+00:00,-0.00748502
2001-01-04 00:00:00+00:00,-0.00763622
2001-01-05 00:00:00+00:00,-0.00805164
2001-01-08 00:00:00+00:00,-0.01033052
2001-01-09 00:00:00+00:00,0.01382799
2001-01-10 00:00:00+00:00,0.00712034
2001-01-11 00:00:00+00:00,-0.00146111
2001-01-12 00:00:00+00:00,-0.01041565
2001-01-16 00:00:00+00:00,0.00157443
2001-01-17 00:00:00+00:00,-0.01536897
2001-01-18 00:00:00+00:00,-0.00789050
2001-01-19 00:00:00+00:00,-0.00282376
2001-01-22 00:00:00+00:00,-0.00108341
2001-01-23 00:00:00+00:00,-0.01638512
2001-01-24 00:00:00+00:00,0.00161376
2001-01-25 00:00:00+00:00,-0.00825301
2001-01-26 00:00:00+00:00,-0.00190833
2001-01-29 00:00:00+00:00,-0.01330784
2001-01-30 00:00:00+00:00,-0.01721160
2001-01-31 00:00:00+00:00,0.01019117
2001-02-01 00:00:00+00:00,0.02244959
2001-02-02 00:00:00+00:00,-0.01001756
2001-02-05 00:00:00+00:00,0.01114927
2001-02-06 00:00:00+00:00,0.00283269
2001-02-07 00:00:00+00:00,-0.00944843
2001-02-08 00:00:00+00:00,-0.00501767
2001-02-09 00:00:00+00:00,0.01209418
2001-02-12 00:00:00+00:00,-0.00445930
2001-02-13 00:00:00+00:00,-0.00189765
2001-02-14 00:00:00+00:00,-0.00068084
2001-02-15 00:00:00+00:00,-0.00081709
2001-02-16 00:00:00+00:00,-0.00297970
2001-02-20 00:00:00+00:00,0.01288346
2001-02-21 00:00:00+00:00,0.01320408
2001-02-22 00:00:00+00:00,0.00361271
2001-02-23 00:00:00+00:00,-0.00748574
2001-02-26 00:00:00+00:00,0.00026932
2001-02-27 00:00:00+00:00,0.00616940
2001-02-28 00:00:00+00:00,0.00613706
2001-03-01 00:00:00+00:00,-0.00798692
2001-03-02 00:00:00+00:00,-0.00694672
2001-03-05 00:00:00+00:00,0.01192802
2001-03-06 00:00:00+00:00,0.00759970
2001-03-07 00:00:00+00:00,0.00345536
2001-03-08 00:00:00+00:00,-0.01231934
2001-03-09 00:00:00+00:00,-0.00439573
2001-03-12 00:00:00+00:00,-0.00320599
2001-03-13 00:00:00+00:00,0.00589197
2001-03-14 00:00:00+00:00,-0.01079625
2001-03-15 00:00:00+00:00,-0.00951360
2001-03-16 00:00:00+00:00,0.00594197
2001-03-19 00:00:00+00:00,0.00054714
2001-03-20 00:00:00+00:00,0.00592867
2001-03-21 00:00:00+00:00,-0.00923940
2001-03-22 00:00:00+00:00,0.00095815
2001-03-23 00:00:00+00:00,-0.01022555
2001-03-26 00:00:00+00:00,-0.00689369
2001-03-27 00:00:00+00:00,0.01210698
2001-03-28 00:00:00+00:00,-0.00106457
2001-03-29 00:00:00+00:00,0.00177227
2001-03-30 00:00:00+00:00,-0.00983905
2001-04-02 00:00:00+00:00,0.01006894
2001-04-03 00:00:00+00:00,0.00555924
2001-04-04 00:00:00+00:00,0.00001983
2001-04-05 00:00:00+00:00,0.00419999
2001-04-06 00:00:00+00:00,-0.00415036
2001-04-09 00:00:00+00:00,0.00231483
2001-04-10 00:00:00+00:00,-0.02005877
2001-04-11 00:00:00+00:00,-0.00174519
2001-04-12 00:00:00+00:00,0.00043219
2001-04-16 00:00:00+00:00,0.01458526
2001-04-17 00:00:00+00:00,-0.00011407
2001-04-18 00:00:00+00:00,-0.00821203
2001-04-19 00:00:00+00:00,-0.01028034
2001-04-20 00:00:00+00:00,0.00806963
2001-04-23 00:00:00+00:00,-0.00146064
2001-04-24 00:00:00+00:00,-0.01070300
2001-04-25 00:00:00+00:00,-0.00516619
2001-04-26 00:00:00+00:00,0.00920254
2001-04-27 00:00:00+00:00,0.00289345
2001-04-30 00:00:00+00:00,-0.00528732
2001-05-01 00:00:00+00:00,0.00890598
2001-05-02 00:00:00+00:00,-0.00255471
2001-05-03 00:00:00+00:00,-0.01710819
2001-05-04 00:00:00+00:00,-0.00216028
2001-05-07 00:00:00+00:00,0.00908492
2001-05-08 00:00:00+00:00,-0.00133255
2001-05-09 00:00:00+00:00,-0.03263842
2001-05-10 00:00:00+00:00,0.01142454
2001-05-11 00:00:00+00:00,-0.00093196
2001-05-14 00:00:00+00:00,0.01068216
2001-05-15 00:00:00+00:00,-0.00559931
2001-05-16 00:00:00+00:00,0.00265562
2001-05-17 00:00:00+00:00,0.03634152
2001-05-18 00:00:00+00:00,-0.01634493
2001-05-21 00:00:00+00:00,0.03973500
2001-05-22 00:00:00+00:00,0.00056801
2001-05-23 00:00:00+00:00,-0.01149248
2001-05-24 00:00:00+00:00,0.01174723
2001-05-25 00:00:00+00:00,0.00297344
2001-05-29 00:00:00+00:00,0.02219455
2001-05-30 00:00:00+00:00,-0.01157639
2001-05-31 00:00:00+00:00,0.01873216
2001-06-01 00:00:00+00:00,0.00515827
2001-06-04 00:00:00+00:00,-0.01320814
2001-06-05 00:00:00+00:00,-0.00010115
2001-06-06 00:00:00+00:00,-0.01262187
2001-06-07 00:00:00+00:00,-0.00434477
2001-06-08 00:00:00+00:00,0.00508861
2001-06-11 00:00:00+00:00,-0.00076371
2001-06-12 00:00:00+00:00,-0.01139161
2001-06-13 00:00:00+00:00,0.00538117
2001-06-14 00:00:00+00:00,-0.01316490
2001-06-15 00:00:00+00:00,-0.00009823
2001-06-18 00:00:00+00:00,0.00057558
2001-06-19 00:00:00+00:00,0.01897580
2001-06-20 00:00:00+00:00,-0.00036400
2001-06-21 00:00:00+00:00,-0.00808938
2001-06-22 00:00:00+00:00,0.00551868
2001-06-25 00:00:00+00:00,0.01924492
2001-06-26 00:00:00+00:00,-0.00526021
2001-06-27 00:00:00+00:00,0.01412159
2001-06-28 00:00:00+00:00,0.00056071
2001-06-29 00:00:00+00:00,-0.02606509
2001-07-02 00:00:00+00:00,0.00256374
2001-07-03 00:00:00+00:00,-0.00647198
2001-07-05 00:00:00+00:00,-0.01340433
2001-07-06 00:00:00+00:00,0.01221176
2001-07-09 00:00:00+00:00,0.00056431
2001-07-10 00:00:00+00:00,-0.02057401
2001-07-11 00:00:00+00:00,0.02902803
2001-07-12 00:00:00+00:00,-0.00142567
2001-07-13 00:00:00+00:00,0.01116976
2001-07-16 00:00:00+00:00,-0.00102496
2001-07-17 00:00:00+00:00,0.00571594
2001-07-18 00:00:00+00:00,0.00121981
2001-07-19 00:00:00+00:00,-0.00933076
2001-07-20 00:00:00+00:00,-0.00725326
2001-07-23 00:00:00+00:00,0.00908313
2001-07-24 00:00:00+00:00,0.00361403
2001-07-25 00:00:00+00:00,-0.02030775
2001-07-26 00:00:00+00:00,-0.01303758
2001-07-27 00:00:00+00:00,-0.01283822
2001-07-30 00:00:00+00:00,-0.00777894
2001-07-31 00:00:00+00:00,-0.00726053
2001-08-01 00:00:00+00:00,-0.00591649
2001-08-02 00:00:00+00:00,-0.00172588
2001-08-03 00:00:00+00:00,-0.00553495
2001-08-06 00:00:00+00:00,-0.00826678
2001-08-07 00:00:00+00:00,0.00809680
2001-08-08 00:00:00+00:00,0.01076520
2001-08-09 00:00:00+00:00,-0.01602058
2001-08-10 00:00:00+00:00,0.00574876
2001-08-13 00:00:00+00:00,0.00964071
2001-08-14 00:00:00+00:00,-0.00816309
2001-08-15 00:00:00+00:00,0.02126483
2001-08-16 00:00:00+00:00,0.00459079
2001-08-17 00:00:00+00:00,-0.00544854
2001-08-20 00:00:00+00:00,-0.00547622
2001-08-21 00:00:00+00:00,-0.00548127
2001-08-22 00:00:00+00:00,-0.01114989
2001-08-23 00:00:00+00:00,-0.00838830
2001-08-24 00:00:00+00:00,-0.00515535
2001-08-27 00:00:00+00:00,-0.00928388
2001-08-28 00:00:00+00:00,0.00128332
2001-08-29 00:00:00+00:00,0.01672123
2001-08-30 00:00:00+00:00,-0.01129319
2001-08-31 00:00:00+00:00,0.01638959
2001-09-04 00:00:00+00:00,0.02382785
2001-09-05 00:00:00+00:00,-0.00035938
2001-09-06 00:00:00+00:00,-0.01891819
2001-09-07 00:00:00+00:00,0.00232593
