Date,COPPER-micro
2000-06-23 00:00:00+00:00,-0.01591570
2000-06-26 00:00:00+00:00,0.03160813
2000-06-27 00:00:00+00:00,-0.00977874
2000-06-28 00:00:00+00:00,0.00347056
2000-06-29 00:00:00+00:00,-0.02429786
2000-06-30 00:00:00+00:00,0.01328054
2000-07-05 00:00:00+00:00,-0.00380251
2000-07-06 00:00:00+00:00,-0.02630239
2000-07-07 00:00:00+00:00,0.00476602
2000-07-10 00:00:00+00:00,0.01827489
2000-07-11 00:00:00+00:00,0.01140646
2000-07-12 00:00:00+00:00,0.01436139
2000-07-13 00:00:00+00:00,-0.00617635
2000-07-14 00:00:00+00:00,-0.00076923
2000-07-17 00:00:00+00:00,0.03964088
2000-07-18 00:00:00+00:00,0.00219789
2000-07-19 00:00:00+00:00,0.00042358
2000-07-20 00:00:00+00:00,0.00278486
2000-07-21 00:00:00+00:00,0.04464597
2000-07-24 00:00:00+00:00,0.00329403
2000-07-25 00:00:00+00:00,0.00328694
2000-07-26 00:00:00+00:00,-0.02028168
2000-07-27 00:00:00+00:00,0.02422240
2000-07-28 00:00:00+00:00,-0.00705197
2000-07-31 00:00:00+00:00,0.01364936
2000-08-01 00:00:00+00:00,-0.00245570
2000-08-02 00:00:00+00:00,-0.00818242
2000-08-03 00:00:00+00:00,-0.00246698
2000-08-04 00:00:00+00:00,0.00903786
2000-08-07 00:00:00+00:00,-0.00417757
2000-08-08 00:00:00+00:00,-0.02140891
2000-08-09 00:00:00+00:00,0.02768970
2000-08-10 00:00:00+00:00,-0.02077544
2000-08-11 00:00:00+00:00,-0.01173717
2000-08-14 00:00:00+00:00,0.01728277
2000-08-15 00:00:00+00:00,0.00790430
2000-08-16 00:00:00+00:00,-0.00935936
2000-08-17 00:00:00+00:00,0.00560110
2000-08-18 00:00:00+00:00,0.00443376
2000-08-21 00:00:00+00:00,-0.02078772
2000-08-22 00:00:00+00:00,0.00908974
2000-08-23 00:00:00+00:00,-0.00074583
2000-08-24 00:00:00+00:00,0.01020492
2000-08-25 00:00:00+00:00,0.00441681
2000-08-28 00:00:00+00:00,-0.00531937
2000-08-29 00:00:00+00:00,0.04056402
2000-08-30 00:00:00+00:00,0.01613067
2000-08-31 00:00:00+00:00,-0.00295742
2000-09-01 00:00:00+00:00,0.00541736
2000-09-05 00:00:00+00:00,0.03381461
2000-09-06 00:00:00+00:00,-0.01003058
2000-09-07 00:00:00+00:00,0.00809262
2000-09-08 00:00:00+00:00,0.01189550
2000-09-11 00:00:00+00:00,0.00528128
2000-09-12 00:00:00+00:00,0.03351283
2000-09-13 00:00:00+00:00,-0.00123289
2000-09-14 00:00:00+00:00,-0.00123485
2000-09-15 00:00:00+00:00,-0.01139585
2000-09-18 00:00:00+00:00,-0.00446929
2000-09-19 00:00:00+00:00,0.00684163
2000-09-20 00:00:00+00:00,-0.04207913
2000-09-21 00:00:00+00:00,0.05090466
