Date,CAD
2000-01-04 00:00:00+00:00,
2000-01-05 00:00:00+00:00,0.00231746
2000-01-06 00:00:00+00:00,-0.00766463
2000-01-07 00:00:00+00:00,0.00204031
2000-01-10 00:00:00+00:00,0.00043592
2000-01-11 00:00:00+00:00,-0.00072753
2000-01-12 00:00:00+00:00,0.00145213
2000-01-13 00:00:00+00:00,0.00232151
2000-01-14 00:00:00+00:00,-0.00130408
2000-01-18 00:00:00+00:00,0.00043424
2000-01-19 00:00:00+00:00,-0.00145239
2000-01-20 00:00:00+00:00,0.00376867
2000-01-21 00:00:00+00:00,0.00534304
2000-01-24 00:00:00+00:00,-0.00287806
2000-01-25 00:00:00+00:00,0.00374049
2000-01-26 00:00:00+00:00,-0.00086795
2000-01-27 00:00:00+00:00,0.00358400
2000-01-28 00:00:00+00:00,-0.00830906
2000-01-31 00:00:00+00:00,-0.00260636
2000-02-01 00:00:00+00:00,0.00042465
2000-02-02 00:00:00+00:00,0.00577407
2000-02-03 00:00:00+00:00,-0.00158865
2000-02-04 00:00:00+00:00,-0.00101621
2000-02-07 00:00:00+00:00,-0.00375269
2000-02-08 00:00:00+00:00,-0.00073154
2000-02-09 00:00:00+00:00,0.00216165
2000-02-10 00:00:00+00:00,-0.00289448
2000-02-11 00:00:00+00:00,-0.00217826
2000-02-14 00:00:00+00:00,-0.00464665
2000-02-15 00:00:00+00:00,0.00028194
2000-02-16 00:00:00+00:00,0.00144695
2000-02-17 00:00:00+00:00,0.00144411
2000-02-18 00:00:00+00:00,0.00129617
2000-02-22 00:00:00+00:00,-0.00957448
2000-02-23 00:00:00+00:00,0.00086732
2000-02-24 00:00:00+00:00,0.00466606
2000-02-25 00:00:00+00:00,0.00362516
2000-02-28 00:00:00+00:00,-0.00073593
2000-02-29 00:00:00+00:00,-0.00044605
2000-03-01 00:00:00+00:00,0.00143957
2000-03-02 00:00:00+00:00,0.00896563
2000-03-03 00:00:00+00:00,0.00421233
2000-03-06 00:00:00+00:00,0.00071461
2000-03-07 00:00:00+00:00,-0.00219091
2000-03-08 00:00:00+00:00,-0.00422845
2000-03-09 00:00:00+00:00,-0.00175979
2000-03-10 00:00:00+00:00,-0.00074151
2000-03-13 00:00:00+00:00,-0.00453371
