Date,GASOILINE
2000-01-05 00:00:00+00:00,
2000-01-06 00:00:00+00:00,0.00708661
2000-01-07 00:00:00+00:00,-0.04739955
2000-01-10 00:00:00+00:00,0.02330939
2000-01-11 00:00:00+00:00,0.05118539
2000-01-12 00:00:00+00:00,0.07169613
2000-01-13 00:00:00+00:00,0.00504348
2000-01-14 00:00:00+00:00,0.09264069
2000-01-18 00:00:00+00:00,0.05620183
2000-01-19 00:00:00+00:00,-0.01805542
2000-01-20 00:00:00+00:00,0.00595143
2000-01-21 00:00:00+00:00,-0.00686574
2000-01-24 00:00:00+00:00,-0.02629576
2000-01-25 00:00:00+00:00,0.03176761
2000-01-26 00:00:00+00:00,-0.02002372
2000-01-27 00:00:00+00:00,-0.02105828
2000-01-28 00:00:00+00:00,0.00100665
2000-01-31 00:00:00+00:00,0.02791021
2000-02-01 00:00:00+00:00,0.04564083
2000-02-02 00:00:00+00:00,-0.02077889
2000-02-03 00:00:00+00:00,0.04270009
2000-02-04 00:00:00+00:00,0.02922654
2000-02-07 00:00:00+00:00,-0.02476698
2000-02-08 00:00:00+00:00,-0.02317847
2000-02-09 00:00:00+00:00,0.05472326
2000-02-10 00:00:00+00:00,0.05010570
2000-02-11 00:00:00+00:00,-0.01293695
2000-02-14 00:00:00+00:00,0.05594703
2000-02-15 00:00:00+00:00,0.00591808
2000-02-16 00:00:00+00:00,-0.02233858
2000-02-17 00:00:00+00:00,-0.03746030
2000-02-18 00:00:00+00:00,-0.03722309
2000-02-22 00:00:00+00:00,0.04015047
2000-02-23 00:00:00+00:00,0.01863717
2000-02-24 00:00:00+00:00,0.01733549
2000-02-25 00:00:00+00:00,0.03975009
2000-02-28 00:00:00+00:00,0.04820642
2000-02-29 00:00:00+00:00,0.01253652
2000-03-01 00:00:00+00:00,0.10569357
2000-03-02 00:00:00+00:00,-0.01328364
2000-03-03 00:00:00+00:00,-0.02182489
2000-03-06 00:00:00+00:00,0.02039369
2000-03-07 00:00:00+00:00,0.08558449
2000-03-08 00:00:00+00:00,-0.13560748
2000-03-09 00:00:00+00:00,0.07224893
2000-03-10 00:00:00+00:00,-0.00293803
2000-03-13 00:00:00+00:00,-0.00890017
2000-03-14 00:00:00+00:00,-0.04605708
2000-03-15 00:00:00+00:00,-0.07284506
2000-03-16 00:00:00+00:00,0.01704348
2000-03-17 00:00:00+00:00,-0.04834073
2000-03-20 00:00:00+00:00,-0.06271914
2000-03-21 00:00:00+00:00,0.02201103
2000-03-22 00:00:00+00:00,-0.01276248
2000-03-23 00:00:00+00:00,0.01338553
2000-03-24 00:00:00+00:00,0.03628823
2000-03-27 00:00:00+00:00,0.01351426
2000-03-28 00:00:00+00:00,-0.00719110
2000-03-29 00:00:00+00:00,-0.06328171
2000-03-30 00:00:00+00:00,-0.01001086
2000-03-31 00:00:00+00:00,0.01712503
2000-04-03 00:00:00+00:00,-0.02899244
2000-04-04 00:00:00+00:00,-0.09265815
2000-04-05 00:00:00+00:00,-0.01166897
2000-04-06 00:00:00+00:00,0.01115448
2000-04-07 00:00:00+00:00,-0.02683290
2000-04-10 00:00:00+00:00,-0.07867455
2000-04-11 00:00:00+00:00,-0.00464597
2000-04-12 00:00:00+00:00,0.12069169
2000-04-13 00:00:00+00:00,0.01476840
2000-04-14 00:00:00+00:00,-0.02288424
2000-04-17 00:00:00+00:00,0.04926715
2000-04-18 00:00:00+00:00,-0.02396939
2000-04-19 00:00:00+00:00,0.06588704
2000-04-20 00:00:00+00:00,0.00550040
2000-04-24 00:00:00+00:00,0.00824527
