Date,FTSECHINAA
2011-03-09 00:00:00+00:00,
2011-03-10 00:00:00+00:00,-0.04702053
2011-03-11 00:00:00+00:00,-0.02227168
2011-03-14 00:00:00+00:00,0.00784972
2011-03-15 00:00:00+00:00,-0.04327841
2011-03-16 00:00:00+00:00,0.03622400
2011-03-17 00:00:00+00:00,-0.02619536
2011-03-18 00:00:00+00:00,0.00847124
2011-03-21 00:00:00+00:00,-0.00370328
2011-03-22 00:00:00+00:00,0.02269909
2011-03-23 00:00:00+00:00,0.00523386
2011-03-24 00:00:00+00:00,0.00312451
2011-03-25 00:00:00+00:00,0.01355196
2011-03-28 00:00:00+00:00,0.00206558
2011-03-29 00:00:00+00:00,0.00309668
2011-03-30 00:00:00+00:00,0.00359872
2011-03-31 00:00:00+00:00,-0.01030261
2011-04-01 00:00:00+00:00,0.02646292
2011-04-06 00:00:00+00:00,0.04405420
2011-04-07 00:00:00+00:00,0.00300505
2011-04-08 00:00:00+00:00,0.01099336
2011-04-11 00:00:00+00:00,-0.00697108
2011-04-12 00:00:00+00:00,-0.01695186
2011-04-13 00:00:00+00:00,0.03472286
2011-04-14 00:00:00+00:00,-0.00837766
2011-04-15 00:00:00+00:00,0.00197801
2011-04-18 00:00:00+00:00,-0.00296759
2011-04-19 00:00:00+00:00,-0.03768142
2011-04-20 00:00:00+00:00,0.00201301
2011-04-21 00:00:00+00:00,0.01765601
2011-04-22 00:00:00+00:00,-0.02407514
2011-04-25 00:00:00+00:00,-0.01516195
2011-04-26 00:00:00+00:00,-0.01170203
2011-04-27 00:00:00+00:00,-0.00359460
2011-04-28 00:00:00+00:00,-0.00822030
2011-04-29 00:00:00+00:00,0.00516009
2011-05-03 00:00:00+00:00,0.00618339
2011-05-04 00:00:00+00:00,-0.06018736
2011-05-05 00:00:00+00:00,0.00637119
2011-05-06 00:00:00+00:00,-0.00741313
2011-05-09 00:00:00+00:00,-0.00053216
2011-05-10 00:00:00+00:00,0.00849165
2011-05-11 00:00:00+00:00,-0.00158938
2011-05-12 00:00:00+00:00,-0.03067362
2011-05-13 00:00:00+00:00,0.02361575
2011-05-16 00:00:00+00:00,-0.02073574
2011-05-17 00:00:00+00:00,0.00643870
2011-05-18 00:00:00+00:00,0.01657500
2011-05-19 00:00:00+00:00,-0.00159087
2011-05-20 00:00:00+00:00,-0.00265517
2011-05-23 00:00:00+00:00,-0.05316601
2011-05-24 00:00:00+00:00,-0.00436975
2011-05-25 00:00:00+00:00,-0.01916006
2011-05-26 00:00:00+00:00,0.00386456
2011-05-27 00:00:00+00:00,0.00110043
2011-05-30 00:00:00+00:00,0.00219993
2011-05-31 00:00:00+00:00,0.03351501
2011-06-01 00:00:00+00:00,-0.00325650
2011-06-02 00:00:00+00:00,-0.03532863
2011-06-03 00:00:00+00:00,0.00331801
2011-06-07 00:00:00+00:00,0.00387325
2011-06-08 00:00:00+00:00,-0.00276196
2011-06-09 00:00:00+00:00,-0.03320540
2011-06-10 00:00:00+00:00,-0.00056532
2011-06-13 00:00:00+00:00,-0.00056549
2011-06-14 00:00:00+00:00,0.02195799
2011-06-15 00:00:00+00:00,-0.01501970
2011-06-16 00:00:00+00:00,-0.02076583
2011-06-17 00:00:00+00:00,-0.01417457
2011-06-20 00:00:00+00:00,-0.00853939
2011-06-21 00:00:00+00:00,0.01776287
2011-06-22 00:00:00+00:00,0.00397085
2011-06-23 00:00:00+00:00,0.02436085
2011-06-24 00:00:00+00:00,0.05418797
2011-06-27 00:00:00+00:00,0.00708246
2011-06-28 00:00:00+00:00,-0.00543408
