Date,BUTTER
2006-04-03 00:00:00+00:00,-0.00224434
2006-04-04 00:00:00+00:00,0.00190737
2006-04-05 00:00:00+00:00,-0.02126818
2006-04-06 00:00:00+00:00,-0.00445724
2006-04-07 00:00:00+00:00,0.00404331
2006-04-10 00:00:00+00:00,-0.02131339
2006-04-11 00:00:00+00:00,-0.00622069
2006-04-12 00:00:00+00:00,0.00580558
2006-04-13 00:00:00+00:00,-0.00021335
2006-04-17 00:00:00+00:00,0.00837095
2006-04-18 00:00:00+00:00,-0.01273988
2006-04-19 00:00:00+00:00,0.00813696
2006-04-20 00:00:00+00:00,0.01257949
2006-04-21 00:00:00+00:00,0.03580333
2006-04-24 00:00:00+00:00,0.01228678
2006-04-25 00:00:00+00:00,0.01842104
2006-04-26 00:00:00+00:00,-0.01253287
2006-04-27 00:00:00+00:00,-0.03326929
2006-04-28 00:00:00+00:00,-0.00021153
2006-05-01 00:00:00+00:00,-0.00012917
2006-05-02 00:00:00+00:00,-0.00645939
2006-05-03 00:00:00+00:00,-0.00613474
2006-05-04 00:00:00+00:00,0.00147977
2006-05-05 00:00:00+00:00,0.00400442
2006-05-08 00:00:00+00:00,-0.00021494
2006-05-09 00:00:00+00:00,0.01885498
2006-05-10 00:00:00+00:00,-0.00013181
2006-05-11 00:00:00+00:00,-0.00220095
2006-05-12 00:00:00+00:00,0.00401841
2006-05-15 00:00:00+00:00,0.00420843
2006-05-16 00:00:00+00:00,-0.00021431
2006-05-17 00:00:00+00:00,0.00377891
2006-05-18 00:00:00+00:00,-0.00021286
2006-05-19 00:00:00+00:00,-0.00218803
2006-05-22 00:00:00+00:00,-0.00837756
2006-05-23 00:00:00+00:00,0.00186124
2006-05-24 00:00:00+00:00,0.00185243
2006-05-25 00:00:00+00:00,0.00805098
2006-05-26 00:00:00+00:00,0.01421909
2006-05-30 00:00:00+00:00,-0.00633506
2006-05-31 00:00:00+00:00,-0.00224913
2006-06-01 00:00:00+00:00,0.00007353
2006-06-02 00:00:00+00:00,-0.01062021
2006-06-05 00:00:00+00:00,-0.00431910
2006-06-06 00:00:00+00:00,-0.01456466
2006-06-07 00:00:00+00:00,0.01020322
2006-06-08 00:00:00+00:00,-0.00425510
2006-06-09 00:00:00+00:00,-0.01256051
2006-06-12 00:00:00+00:00,0.00184705
2006-06-13 00:00:00+00:00,0.01215602
2006-06-14 00:00:00+00:00,0.01415902
2006-06-15 00:00:00+00:00,-0.01858046
2006-06-16 00:00:00+00:00,-0.00227133
2006-06-19 00:00:00+00:00,-0.00638764
2006-06-20 00:00:00+00:00,-0.00844609
2006-06-21 00:00:00+00:00,-0.00228203
2006-06-22 00:00:00+00:00,-0.01054600
2006-06-23 00:00:00+00:00,0.00186205
2006-06-26 00:00:00+00:00,-0.01880678
2006-06-27 00:00:00+00:00,-0.01074611
2006-06-28 00:00:00+00:00,0.00189008
2006-06-29 00:00:00+00:00,-0.00021967
2006-06-30 00:00:00+00:00,0.00197443
2006-07-03 00:00:00+00:00,-0.00022022
2006-07-05 00:00:00+00:00,-0.00225489
2006-07-06 00:00:00+00:00,-0.00140972
2006-07-07 00:00:00+00:00,-0.02649153
2006-07-10 00:00:00+00:00,0.01694694
2006-07-11 00:00:00+00:00,-0.00857562
2006-07-12 00:00:00+00:00,-0.00446817
2006-07-13 00:00:00+00:00,-0.00226900
2006-07-14 00:00:00+00:00,-0.00022237
2006-07-17 00:00:00+00:00,0.00647231
2006-07-18 00:00:00+00:00,-0.00170723
2006-07-19 00:00:00+00:00,-0.00446023
2006-07-20 00:00:00+00:00,-0.00098912
2006-07-21 00:00:00+00:00,0.00190505
2006-07-24 00:00:00+00:00,0.02318165
2006-07-25 00:00:00+00:00,0.05207712
2006-07-26 00:00:00+00:00,0.08107880
2006-07-27 00:00:00+00:00,-0.01779748
2006-07-28 00:00:00+00:00,-0.01402289
2006-07-31 00:00:00+00:00,0.02734280
2006-08-01 00:00:00+00:00,0.00368876
2006-08-02 00:00:00+00:00,0.01540910
2006-08-03 00:00:00+00:00,-0.01380883
2006-08-04 00:00:00+00:00,0.00173415
2006-08-07 00:00:00+00:00,0.02691589
2006-08-08 00:00:00+00:00,-0.00406201
2006-08-09 00:00:00+00:00,-0.01751146
2006-08-10 00:00:00+00:00,-0.00215955
2006-08-11 00:00:00+00:00,0.02702175
2006-08-14 00:00:00+00:00,0.00361582
2006-08-15 00:00:00+00:00,-0.02494708
