Date,FED
2000-01-04 00:00:00+00:00,
2000-01-05 00:00:00+00:00,-0.00089339
2000-01-06 00:00:00+00:00,0.00017390
2000-01-07 00:00:00+00:00,0.00038800
2000-01-10 00:00:00+00:00,-0.00035910
2000-01-11 00:00:00+00:00,-0.00067961
2000-01-12 00:00:00+00:00,-0.00089395
2000-01-13 00:00:00+00:00,0.00049428
2000-01-14 00:00:00+00:00,-0.00046624
2000-01-18 00:00:00+00:00,-0.00025257
2000-01-19 00:00:00+00:00,0.00027798
2000-01-20 00:00:00+00:00,-0.00014808
2000-01-21 00:00:00+00:00,0.00006590
2000-01-24 00:00:00+00:00,-0.00004139
2000-01-25 00:00:00+00:00,0.00038312
2000-01-26 00:00:00+00:00,-0.00047051
2000-01-27 00:00:00+00:00,-0.00041749
2000-01-28 00:00:00+00:00,-0.00185937
2000-01-31 00:00:00+00:00,-0.00106192
2000-02-01 00:00:00+00:00,0.00016653
2000-02-02 00:00:00+00:00,-0.00079413
2000-02-03 00:00:00+00:00,0.00048957
2000-02-04 00:00:00+00:00,-0.00058063
2000-02-07 00:00:00+00:00,-0.00009879
2000-02-08 00:00:00+00:00,0.00070152
2000-02-09 00:00:00+00:00,-0.00036650
2000-02-10 00:00:00+00:00,-0.00047366
2000-02-11 00:00:00+00:00,-0.00009936
2000-02-14 00:00:00+00:00,0.00048932
2000-02-15 00:00:00+00:00,-0.00015530
2000-02-16 00:00:00+00:00,-0.00079550
2000-02-17 00:00:00+00:00,-0.00149099
2000-02-18 00:00:00+00:00,0.00011208
2000-02-22 00:00:00+00:00,-0.00079750
2000-02-23 00:00:00+00:00,-0.00037068
2000-02-24 00:00:00+00:00,0.00198372
2000-02-25 00:00:00+00:00,0.00117963
2000-02-28 00:00:00+00:00,-0.00095771
2000-02-29 00:00:00+00:00,-0.00079751
2000-03-01 00:00:00+00:00,0.00005791
2000-03-02 00:00:00+00:00,-0.00036960
2000-03-03 00:00:00+00:00,0.00027084
2000-03-06 00:00:00+00:00,-0.00127956
2000-03-07 00:00:00+00:00,-0.00015780
2000-03-08 00:00:00+00:00,-0.00015750
2000-03-09 00:00:00+00:00,-0.00021069
2000-03-10 00:00:00+00:00,-0.00069334
2000-03-13 00:00:00+00:00,-0.00015891
2000-03-14 00:00:00+00:00,-0.00015861
2000-03-15 00:00:00+00:00,-0.00047896
2000-03-16 00:00:00+00:00,-0.00015863
2000-03-17 00:00:00+00:00,-0.00005190
2000-03-20 00:00:00+00:00,-0.00037339
2000-03-21 00:00:00+00:00,-0.00101563
2000-03-22 00:00:00+00:00,0.00016179
2000-03-23 00:00:00+00:00,-0.00123002
2000-03-24 00:00:00+00:00,-0.00155220
2000-03-27 00:00:00+00:00,-0.00074798
2000-03-28 00:00:00+00:00,0.00026977
2000-03-29 00:00:00+00:00,-0.00037390
2000-03-30 00:00:00+00:00,0.00085975
2000-03-31 00:00:00+00:00,-0.00037351
2000-04-03 00:00:00+00:00,-0.00005119
2000-04-04 00:00:00+00:00,0.00391451
2000-04-05 00:00:00+00:00,-0.00122792
2000-04-06 00:00:00+00:00,-0.00101508
2000-04-07 00:00:00+00:00,-0.00010595
2000-04-10 00:00:00+00:00,0.00043034
2000-04-11 00:00:00+00:00,-0.00015780
2000-04-12 00:00:00+00:00,-0.00058549
2000-04-13 00:00:00+00:00,0.00000329
2000-04-14 00:00:00+00:00,0.00021729
2000-04-17 00:00:00+00:00,-0.00005026
2000-04-18 00:00:00+00:00,-0.00026422
2000-04-19 00:00:00+00:00,-0.00021073
2000-04-20 00:00:00+00:00,-0.00058459
2000-04-24 00:00:00+00:00,-0.00004881
2000-04-25 00:00:00+00:00,-0.00170840
2000-04-26 00:00:00+00:00,-0.00047686
2000-04-27 00:00:00+00:00,-0.00347606
2000-04-28 00:00:00+00:00,-0.00123043
2000-05-01 00:00:00+00:00,-0.00026515
2000-05-02 00:00:00+00:00,-0.00101885
2000-05-03 00:00:00+00:00,-0.00091154
2000-05-04 00:00:00+00:00,-0.00080411
2000-05-05 00:00:00+00:00,-0.00123588
2000-05-08 00:00:00+00:00,-0.00053972
2000-05-09 00:00:00+00:00,-0.00048852
2000-05-10 00:00:00+00:00,0.00026444
2000-05-11 00:00:00+00:00,-0.00016586
2000-05-12 00:00:00+00:00,-0.00102596
2000-05-15 00:00:00+00:00,-0.00005770
2000-05-16 00:00:00+00:00,-0.00092066
2000-05-17 00:00:00+00:00,-0.00145521
2000-05-18 00:00:00+00:00,-0.00037542
2000-05-19 00:00:00+00:00,0.00124135
2000-05-22 00:00:00+00:00,-0.00048182
2000-05-23 00:00:00+00:00,-0.00102359
2000-05-24 00:00:00+00:00,-0.00026774
2000-05-25 00:00:00+00:00,0.00005737
2000-05-26 00:00:00+00:00,-0.00004953
2000-05-30 00:00:00+00:00,-0.00090980
2000-05-31 00:00:00+00:00,0.00033234
2000-06-01 00:00:00+00:00,0.00135287
2000-06-02 00:00:00+00:00,0.00220912
2000-06-05 00:00:00+00:00,0.00048580
2000-06-06 00:00:00+00:00,-0.00059182
2000-06-07 00:00:00+00:00,-0.00016002
2000-06-08 00:00:00+00:00,-0.00058939
2000-06-09 00:00:00+00:00,-0.00016002
2000-06-12 00:00:00+00:00,0.00048700
2000-06-13 00:00:00+00:00,0.00070061
2000-06-14 00:00:00+00:00,0.00080934
2000-06-15 00:00:00+00:00,-0.00026518
2000-06-16 00:00:00+00:00,0.00080892
2000-06-19 00:00:00+00:00,-0.00037163
2000-06-20 00:00:00+00:00,-0.00101543
2000-06-21 00:00:00+00:00,-0.00112385
2000-06-22 00:00:00+00:00,0.00027215
2000-06-23 00:00:00+00:00,-0.00015836
2000-06-26 00:00:00+00:00,-0.00004976
2000-06-27 00:00:00+00:00,-0.00042644
2000-06-28 00:00:00+00:00,0.00027263
2000-06-29 00:00:00+00:00,0.00027171
2000-06-30 00:00:00+00:00,-0.00026633
2000-07-03 00:00:00+00:00,0.00166627
2000-07-05 00:00:00+00:00,0.00069668
2000-07-06 00:00:00+00:00,-0.00064558
2000-07-07 00:00:00+00:00,0.00112434
2000-07-10 00:00:00+00:00,-0.00027143
2000-07-11 00:00:00+00:00,-0.00016502
2000-07-12 00:00:00+00:00,-0.00016639
2000-07-13 00:00:00+00:00,-0.00005943
2000-07-14 00:00:00+00:00,-0.00059562
2000-07-17 00:00:00+00:00,-0.00086357
2000-07-18 00:00:00+00:00,-0.00016641
2000-07-19 00:00:00+00:00,-0.00038126
2000-07-20 00:00:00+00:00,0.00149630
2000-07-21 00:00:00+00:00,-0.00005836
2000-07-24 00:00:00+00:00,-0.00038053
2000-07-25 00:00:00+00:00,-0.00016752
2000-07-26 00:00:00+00:00,-0.00016667
2000-07-27 00:00:00+00:00,-0.00006056
2000-07-28 00:00:00+00:00,-0.00102525
2000-07-31 00:00:00+00:00,-0.00048958
2000-08-01 00:00:00+00:00,0.00036748
2000-08-02 00:00:00+00:00,0.00058184
2000-08-03 00:00:00+00:00,0.00004606
2000-08-04 00:00:00+00:00,0.00101083
2000-08-07 00:00:00+00:00,-0.00016863
2000-08-08 00:00:00+00:00,0.00047392
2000-08-09 00:00:00+00:00,-0.00022246
2000-08-10 00:00:00+00:00,0.00047366
2000-08-11 00:00:00+00:00,-0.00070533
2000-08-14 00:00:00+00:00,-0.00016947
2000-08-15 00:00:00+00:00,-0.00016944
2000-08-16 00:00:00+00:00,-0.00032980
2000-08-17 00:00:00+00:00,-0.00016947
2000-08-18 00:00:00+00:00,-0.00006207
2000-08-21 00:00:00+00:00,-0.00006237
2000-08-22 00:00:00+00:00,-0.00049101
2000-08-23 00:00:00+00:00,0.00058014
2000-08-24 00:00:00+00:00,0.00068665
2000-08-25 00:00:00+00:00,-0.00017058
2000-08-28 00:00:00+00:00,-0.00049167
2000-08-29 00:00:00+00:00,-0.00102702
2000-08-30 00:00:00+00:00,0.00047175
2000-08-31 00:00:00+00:00,0.00025769
2000-09-08 00:00:00+00:00,0.00052965
2000-09-11 00:00:00+00:00,0.00036964
2000-09-12 00:00:00+00:00,-0.00011126
2000-09-13 00:00:00+00:00,0.00042389
2000-09-14 00:00:00+00:00,-0.00005919
2000-09-15 00:00:00+00:00,0.00031507
2000-09-18 00:00:00+00:00,0.00052876
2000-09-19 00:00:00+00:00,0.00010048
2000-09-20 00:00:00+00:00,-0.00037979
2000-09-21 00:00:00+00:00,-0.00016641
2000-09-22 00:00:00+00:00,0.00036786
2000-09-25 00:00:00+00:00,-0.00038032
2000-09-26 00:00:00+00:00,-0.00006014
2000-09-27 00:00:00+00:00,-0.00027434
2000-09-28 00:00:00+00:00,-0.00006208
2000-09-29 00:00:00+00:00,0.00025893
2000-10-02 00:00:00+00:00,-0.00032800
2000-10-03 00:00:00+00:00,-0.00059585
2000-10-04 00:00:00+00:00,-0.00027547
2000-10-05 00:00:00+00:00,-0.00048944
2000-10-06 00:00:00+00:00,0.00009850
2000-10-10 00:00:00+00:00,0.00004533
