Date,FTSEVIET
2022-11-02 00:00:00+00:00,-0.01405223
2022-11-03 00:00:00+00:00,-0.00482629
2022-11-04 00:00:00+00:00,-0.04685995
2022-11-07 00:00:00+00:00,-0.07149784
2022-11-08 00:00:00+00:00,-0.00278889
2022-11-09 00:00:00+00:00,-0.00573824
2022-11-10 00:00:00+00:00,-0.04094570
2022-11-11 00:00:00+00:00,0.00119320
2022-11-14 00:00:00+00:00,-0.04655172
2022-11-15 00:00:00+00:00,-0.01663656
2022-11-16 00:00:00+00:00,-0.00144558
2022-11-17 00:00:00+00:00,0.04708984
2022-11-18 00:00:00+00:00,-0.00583234
2022-11-21 00:00:00+00:00,0.04969132
2022-11-22 00:00:00+00:00,-0.01730745
2022-11-23 00:00:00+00:00,-0.00780721
2022-11-24 00:00:00+00:00,-0.00141099
2022-11-25 00:00:00+00:00,0.03414027
2022-11-28 00:00:00+00:00,0.09112772
2022-11-30 00:00:00+00:00,0.02493791
2022-12-01 00:00:00+00:00,0.01980977
2022-12-02 00:00:00+00:00,-0.00586713
2022-12-05 00:00:00+00:00,0.17502473
2022-12-06 00:00:00+00:00,-0.04416770
2022-12-07 00:00:00+00:00,0.00158024
2022-12-08 00:00:00+00:00,0.00157822
2022-12-09 00:00:00+00:00,0.00044537
2022-12-12 00:00:00+00:00,-0.11580763
2022-12-13 00:00:00+00:00,0.01494669
2022-12-14 00:00:00+00:00,-0.00127476
2022-12-15 00:00:00+00:00,-0.00185330
2022-12-16 00:00:00+00:00,0.00103819
2022-12-19 00:00:00+00:00,-0.03075481
2022-12-20 00:00:00+00:00,-0.01920116
2022-12-21 00:00:00+00:00,-0.00493955
2022-12-22 00:00:00+00:00,0.00411695
2022-12-23 00:00:00+00:00,-0.01338142
2022-12-26 00:00:00+00:00,-0.07892311
2022-12-27 00:00:00+00:00,0.00157810
2022-12-28 00:00:00+00:00,0.02387349
2022-12-29 00:00:00+00:00,-0.00399269
2022-12-30 00:00:00+00:00,0.00913690
2023-01-03 00:00:00+00:00,0.07694275
2023-01-04 00:00:00+00:00,-0.00622348
2023-01-05 00:00:00+00:00,0.01178346
2023-01-06 00:00:00+00:00,-0.00542573
2023-01-09 00:00:00+00:00,0.02058186
2023-01-10 00:00:00+00:00,-0.00088799
2023-01-11 00:00:00+00:00,0.00925425
2023-01-12 00:00:00+00:00,-0.01000601
