Date,COAL-GEORDIE
2008-12-17 00:00:00+00:00,
2008-12-18 00:00:00+00:00,-0.02923294
2008-12-19 00:00:00+00:00,-0.00583173
2008-12-22 00:00:00+00:00,-0.00312349
2008-12-23 00:00:00+00:00,0.00438864
2008-12-24 00:00:00+00:00,-0.00312538
2008-12-29 00:00:00+00:00,0.05288250
2008-12-30 00:00:00+00:00,-0.00372510
2008-12-31 00:00:00+00:00,0.00961058
2009-01-02 00:00:00+00:00,-0.03030913
2009-01-05 00:00:00+00:00,0.06762530
2009-01-06 00:00:00+00:00,0.10750036
2009-01-07 00:00:00+00:00,-0.06490051
2009-01-08 00:00:00+00:00,-0.00100308
2009-01-09 00:00:00+00:00,-0.04298176
2009-01-12 00:00:00+00:00,0.02580174
2009-01-13 00:00:00+00:00,0.01138187
2009-01-14 00:00:00+00:00,0.00421715
2009-01-15 00:00:00+00:00,-0.01805421
2009-01-16 00:00:00+00:00,0.03330788
2009-01-19 00:00:00+00:00,-0.06014015
2009-01-20 00:00:00+00:00,-0.02340371
2009-01-21 00:00:00+00:00,-0.00585310
2009-01-22 00:00:00+00:00,0.01692658
2009-01-23 00:00:00+00:00,0.02224453
2009-01-26 00:00:00+00:00,-0.03305411
2009-01-27 00:00:00+00:00,0.01598375
2009-01-28 00:00:00+00:00,-0.00312023
2009-01-29 00:00:00+00:00,0.02521507
2009-01-30 00:00:00+00:00,-0.00444524
2009-02-02 00:00:00+00:00,-0.01121629
2009-02-03 00:00:00+00:00,-0.03090952
2009-02-04 00:00:00+00:00,0.01884232
2009-02-05 00:00:00+00:00,0.02207277
2009-02-06 00:00:00+00:00,0.00768844
2009-02-09 00:00:00+00:00,0.09154732
2009-02-10 00:00:00+00:00,-0.03383664
2009-02-11 00:00:00+00:00,-0.03563123
2009-02-12 00:00:00+00:00,-0.04718300
2009-02-13 00:00:00+00:00,0.01589750
2009-02-16 00:00:00+00:00,-0.03600161
2009-02-17 00:00:00+00:00,-0.02837732
