,CTA (BTOP50),Global Equities,US Equities,Global Bonds,US Bonds,Commodities,US Dollar
CTA (BTOP50),1.0,0.06141424386674399,0.08665577669543796,-0.05712966369262695,-0.03229678999860556,-0.004772093491548774,0.04479693602213753
Global Equities,0.06141424386674399,1.0,0.9711431593615413,-0.03948014752515054,-0.17285527778239174,0.4266525389861874,-0.44229363999850263
US Equities,0.08665577669543796,0.9711431593615413,1.0,-0.0364654310928986,-0.17633838175878505,0.35161672362862534,-0.3237947979711767
Global Bonds,-0.05712966369262695,-0.03948014752515054,-0.0364654310928986,1.0,0.8679536085613636,-0.15298231468363443,-0.17194233446206678
US Bonds,-0.03229678999860556,-0.17285527778239174,-0.17633838175878505,0.8679536085613636,1.0,-0.1410115783279233,-0.20584934089003815
Commodities,-0.004772093491548774,0.4266525389861874,0.35161672362862534,-0.15298231468363443,-0.1410115783279233,1.0,-0.4522392294545284
US Dollar,0.04479693602213753,-0.44229363999850263,-0.3237947979711767,-0.17194233446206678,-0.20584934089003815,-0.4522392294545284,1.0
