,CTA (BTOP50),Global Equities,US Equities,Global Bonds,US Bonds,Commodities,US Dollar
CTA (BTOP50),1.0,0.028455684193202737,0.04491153009428622,-0.0016635333045490594,0.015764424797430864,-0.0451408368956888,0.042940682095149015
Global Equities,0.028455684193202737,1.0,0.9584538652341035,-0.10307565048307171,-0.15141221637762312,0.37184537362227293,-0.43330110831003293
US Equities,0.04491153009428622,0.9584538652341035,1.0,-0.11660303462877152,-0.1750343241828707,0.302411139577413,-0.3024379844232404
Global Bonds,-0.0016635333045490594,-0.10307565048307171,-0.11660303462877152,1.0,0.8897892750654048,-0.14241052938910262,-0.1275871461053533
US Bonds,0.015764424797430864,-0.15141221637762312,-0.1750343241828707,0.8897892750654048,1.0,-0.12542921592620104,-0.1798713704148923
Commodities,-0.0451408368956888,0.37184537362227293,0.302411139577413,-0.14241052938910262,-0.12542921592620104,1.0,-0.40622306346286385
US Dollar,0.042940682095149015,-0.43330110831003293,-0.3024379844232404,-0.1275871461053533,-0.1798713704148923,-0.40622306346286385,1.0
