DateUTC,AUD,GBP,CAD,EUR,JPY,US5,BUND,SP500,CRUDE_W,GOLD
2010-01-01 00:00:00+00:00,,,,,,,,,,
2010-01-04 00:00:00+00:00,0.02938038,-0.00755775,0.00031254,0.01060246,0.01182326,0.00286638,0.00041026,0.03239584,0.04492757,0.04021859
2010-01-05 00:00:00+00:00,0.00021913,-0.01156546,0.01025989,-0.00596997,0.01823210,0.00586322,0.00321382,0.00618666,0.04492757,0.04021859
2010-01-06 00:00:00+00:00,0.02066142,-0.00006409,-0.00300736,0.00570597,-0.01440126,-0.00108935,-0.00197852,0.00108944,0.04580587,0.03253825
2010-01-07 00:00:00+00:00,-0.00470396,-0.00712999,0.00467682,-0.01159220,-0.01570581,-0.00190553,0.00148260,0.00792910,-0.01454642,-0.00485044
2010-01-08 00:00:00+00:00,0.01216563,0.01154549,0.00051597,0.01256403,0.01145110,0.00367316,-0.00066092,0.00723833,0.00938383,0.00916249
2010-01-11 00:00:00+00:00,0.01448876,0.00836005,-0.00010363,0.01428983,0.01157217,0.00040639,0.00551623,0.00151924,-0.00558481,0.02194057
2010-01-12 00:00:00+00:00,-0.02022630,0.00956744,-0.00473044,-0.00316982,0.02337864,0.00651824,0.00607917,-0.01489398,-0.04010307,-0.03822528
2010-01-13 00:00:00+00:00,0.00546173,0.01286097,-0.00464984,0.00220610,-0.00946384,-0.00446986,-0.00188578,0.01343342,-0.02226642,0.01309315
2010-01-14 00:00:00+00:00,0.01765135,0.00602003,0.00664029,-0.00131083,0.01005429,0.00447514,0.00491725,0.00611915,0.00070446,0.01080877
2010-01-15 00:00:00+00:00,-0.01998226,-0.00876181,0.00484367,-0.02020720,0.00181748,0.00527746,0.00556016,-0.02228058,-0.03369752,-0.02188356
2010-01-18 00:00:00+00:00,-0.01998226,-0.00876181,0.00092480,-0.02020720,0.00181748,0.00527746,0.00220043,0.00727168,-0.03369752,-0.02188356
2010-01-19 00:00:00+00:00,0.00490803,0.01255011,0.00236411,-0.00898784,-0.00427259,-0.00256695,-0.00423888,0.01604012,0.01545389,0.01670725
2010-01-20 00:00:00+00:00,-0.03472067,-0.00905070,-0.00862039,-0.02589371,-0.00246049,0.00337789,0.00824358,-0.02008866,-0.03282465,-0.04825669
2010-01-21 00:00:00+00:00,-0.00797661,-0.00958314,-0.01024774,-0.00028501,0.01787038,0.00485715,0.00536566,-0.04123108,-0.04243492,-0.01690837
2010-01-22 00:00:00+00:00,-0.00456103,-0.01123391,-0.00428877,0.00439481,0.01210884,0.00269107,0.00024137,-0.03558398,-0.04273449,-0.02439463
2010-01-25 00:00:00+00:00,0.00713268,0.01563909,0.00253478,0.00212112,-0.00907436,-0.00107765,-0.00210976,0.00296450,0.02044418,0.01100119
2010-01-26 00:00:00+00:00,-0.00944319,-0.01219551,-0.00643174,-0.00904847,0.01236162,0.00053593,0.00040337,-0.00962587,-0.01736941,0.00482560
2010-01-27 00:00:00+00:00,-0.01194408,0.00359166,-0.00318480,-0.00738586,-0.00556265,-0.00188574,-0.00195021,0.01332436,-0.02508840,-0.02514146
2010-01-28 00:00:00+00:00,0.00044694,-0.00569245,0.00329708,-0.00826843,0.00071729,0.00215172,0.00397650,-0.02787544,-0.00613131,-0.00167155
2010-01-29 00:00:00+00:00,-0.02065771,-0.01687347,-0.00604857,-0.01574451,-0.00809345,0.00524296,0.00461799,-0.01646172,-0.01447379,-0.00148827
2010-02-01 00:00:00+00:00,0.01258964,-0.00469414,-0.00192560,0.00793112,-0.00794620,-0.00241773,-0.00323825,0.02940997,0.03985181,0.02030182
2010-02-02 00:00:00+00:00,-0.01161493,0.00263064,0.00877481,0.00617541,0.00616002,0.00147456,-0.00057026,0.02046285,0.06702527,0.02352666
2010-02-03 00:00:00+00:00,-0.00556025,-0.00989636,0.00466612,-0.00874019,-0.01337469,-0.00335890,-0.00583517,-0.00297776,-0.00453277,-0.01074586
2010-02-04 00:00:00+00:00,-0.03719552,-0.01743387,-0.00412175,-0.02287702,0.04011018,0.00819923,0.01429535,-0.06180312,-0.09285307,-0.08814171
2010-02-05 00:00:00+00:00,-0.00463868,-0.01923827,-0.01177480,-0.01564694,0.00026489,0.00722882,0.00548339,-0.00378298,-0.06289770,-0.01920318
2010-02-08 00:00:00+00:00,0.00650358,0.00115109,0.00042588,0.00527778,-0.00410403,-0.00347305,-0.00402742,-0.00709289,0.01898423,0.02553856
2010-02-09 00:00:00+00:00,0.02061075,0.00928648,0.00160366,0.01491907,-0.00643562,-0.00321197,-0.00943523,0.01939685,0.05380448,0.02062140
2010-02-10 00:00:00+00:00,0.00320619,-0.01237385,0.00224278,-0.00552102,-0.00573928,-0.00455612,-0.00162371,-0.00564317,0.00947572,-0.00168357
2010-02-11 00:00:00+00:00,0.03386834,0.01372834,0.00767965,-0.00699225,0.00341292,-0.00040583,-0.00470921,0.02490778,0.02205951,0.03417880
2010-02-12 00:00:00+00:00,-0.00652759,-0.00369882,0.00825655,-0.01023135,-0.00448939,0.00348688,0.00609239,0.00462901,-0.02536024,-0.00859909
2010-02-15 00:00:00+00:00,-0.00652759,-0.00369882,-0.00115886,-0.01023135,-0.00448939,0.00348688,0.00032091,-0.00627146,-0.02536024,-0.00859909
2010-02-16 00:00:00+00:00,0.02821727,0.01455398,0.00546935,0.02041304,-0.00431955,0.00334686,0.00315553,0.03275984,0.06834059,0.05466669
2010-02-17 00:00:00+00:00,-0.00222869,-0.01166530,0.00125314,-0.02035751,-0.02181438,-0.00762856,-0.00461417,0.01141805,0.00394960,0.00061276
2010-02-18 00:00:00+00:00,0.00657084,-0.00778111,-0.00115276,0.00007047,-0.00419470,-0.00416611,-0.00462449,0.01089808,0.03242893,-0.00251235
2010-02-19 00:00:00+00:00,-0.00933216,-0.02061230,-0.00429347,-0.00308758,-0.00913456,-0.00202193,-0.00658458,0.00134088,0.00679359,0.00606591
2010-02-22 00:00:00+00:00,0.00658074,0.00297223,-0.00093768,0.00176274,0.01210637,0.00107473,0.00341985,0.00224428,0.00895177,-0.01605356
2010-02-23 00:00:00+00:00,-0.02291251,-0.00581496,-0.00135516,-0.01249682,0.02224531,0.00820964,0.01570133,-0.01852641,0.00895177,-0.01605356
2010-02-24 00:00:00+00:00,0.00314706,-0.00583189,-0.01208281,0.00044047,0.00089854,-0.00040595,0.00403337,0.01137587,-0.00928156,-0.02858171
2010-02-25 00:00:00+00:00,-0.01146149,-0.01968383,-0.00263857,0.00280622,0.02253131,-0.00671120,0.00402510,-0.00228191,-0.04443020,0.02058490
2010-02-26 00:00:00+00:00,0.02383572,0.00012780,-0.00296259,0.01136696,0.00605776,0.00445366,0.00023735,0.00202489,0.03403849,0.01875111
2010-03-01 00:00:00+00:00,0.00848145,-0.03109569,-0.00242153,-0.00675781,-0.00418019,-0.00027346,0.00096089,0.02014659,-0.01935721,-0.00108561
2010-03-02 00:00:00+00:00,0.00688905,-0.00806604,0.02339184,0.00367957,0.00890105,0.00107426,-0.01310497,0.00514260,0.02113315,0.03414572
2010-03-03 00:00:00+00:00,0.00276552,0.01939664,0.01879108,0.01470194,0.00602442,0.00013038,-0.00203897,0.00222019,0.02833346,0.01044891
2010-03-04 00:00:00+00:00,-0.00984908,-0.00841845,0.00206473,-0.01796015,-0.01591344,-0.00121623,0.00154543,0.00646495,-0.00720025,-0.01785663
2010-03-05 00:00:00+00:00,0.01678288,0.01702951,0.00309495,0.00677194,-0.02771270,-0.00512660,-0.00130694,0.02537819,0.03080084,0.00369282
